Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Data Security,Password/Data Storage,210,0.07951533510034078,216.70466425773338,0.08205401902981196
1,Cryptography,Encryption,343,0.1298750473305566,315.92554192572425,0.11962345396657488
2,Cryptography,Encryption,214,0.08102991291177584,244.80958009640017,0.0926957895101856
3,Network Security,Digital Certificates,69,0.026126467247254828,89.95772806557943,0.03406199472380895
4,Network Security,Client/Server,264,0.09996213555471413,226.4113098886737,0.08572938655383329
5,Software Vulnerabilities,Race Condition,56,0.021204089360090876,69.61531844362617,0.026359454162675565
6,Data Security,Password/Data Storage,2,0.0007572889057175312,10.776857276126975,0.004080597226856106
7,Cryptography,Encryption,509,0.1927300265051117,439.54377465372454,0.1664308120612361
8,Data Security,Password/Data Storage,235,0.08898144642180993,271.53484718798427,0.10281516364558284
9,Software Vulnerabilities,Memory Management,110,0.041650889814464215,165.1783841023498,0.06254387887252927
10,Data Security,Password/Data Storage,8,0.003029155622870125,20.283494078394142,0.007680232517377562
11,Secure Development,Libraries/Configuration,0,0.0,8.361245667783805,0.0031659392910957235
12,Software Vulnerabilities,Memory Management,621,0.23513820522529344,561.8972535730718,0.21275927814201887
