id,nanswers
"7260","2"
"8451","13"
"10635","8"
"11762","9"
"17670","4"
"18448","6"
"21965","5"
"29346","5"
"42115","4"
"47262","2"
"49211","2"
"50684","5"
"53824","3"
"54991","25"
"59893","4"
"64469","3"
"71077","9"
"71146","7"
"74443","4"
"83553","3"
"86458","5"
"94809","6"
"98074","3"
"100919","5"
"102382","4"
"103177","2"
"108518","9"
"118599","3"
"120116","2"
"121493","5"
"124674","1"
"124885","3"
"129544","2"
"129629","4"
"136219","1"
"141399","3"
"144605","1"
"146973","4"
"148879","6"
"150737","8"
"152419","2"
"154430","2"
"155400","1"
"158800","3"
"160373","3"
"162031","3"
"165808","17"
"166617","3"
"167252","1"
"169222","1"
"170689","5"
"172951","9"
"177363","9"
"178578","6"
"179425","1"
"181581","2"
"188134","1"
"192134","8"
"196177","3"
"197388","7"
"198071","3"
"198625","8"
"201153","3"
"202011","29"
"206438","10"
"206793","2"
"209242","1"
"211169","4"
"211941","2"
"212510","12"
"212763","6"
"213568","2"
"229596","3"
"234234","2"
"234872","1"
"239463","3"
"239979","3"
"240224","8"
"243646","9"
"243995","2"
"244019","4"
"244152","3"
"246822","6"
"249540","3"
"249567","2"
"252882","3"
"252974","2"
"254980","2"
"255171","3"
"258889","2"
"261785","1"
"261873","5"
"262756","1"
"264889","2"
"269101","11"
"270010","1"
"270625","1"
"272112","2"
"273452","10"
"280923","3"
"281068","4"
"281843","2"
"283726","4"
"284500","3"
"288732","6"
"289601","2"
"290548","13"
"291744","2"
"295538","11"
"297498","2"
"298363","6"
"299793","1"
"300582","6"
"301024","2"
"308756","3"
"311677","3"
"312621","3"
"317652","2"
"318039","2"
"319508","5"
"321128","2"
"326818","5"
"327654","4"
"331468","4"
"332477","2"
"341956","1"
"343488","3"
"344774","3"
"354068","3"
"359342","9"
"360259","3"
"360838","2"
"379276","4"
"379319","2"
"379445","1"
"379941","1"
"380336","5"
"382353","2"
"382383","2"
"384725","1"
"386982","7"
"390853","2"
"393118","3"
"396324","5"
"399155","4"
"416771","3"
"424517","6"
"425688","6"
"428478","2"
"430386","7"
"430599","3"
"431013","3"
"432570","1"
"432753","2"
"434404","2"
"436760","2"
"437864","3"
"438142","1"
"438704","3"
"439253","3"
"440200","5"
"442658","3"
"443411","3"
"444248","15"
"446981","4"
"447785","3"
"450380","2"
"453404","4"
"454368","5"
"454771","3"
"456837","2"
"457307","2"
"459182","6"
"462160","1"
"462264","4"
"464478","2"
"464580","1"
"466482","4"
"467150","1"
"473173","3"
"473687","5"
"474259","4"
"475421","2"
"476701","3"
"477863","1"
"478498","4"
"480358","4"
"481098","4"
"481160","2"
"483197","4"
"485103","2"
"486000","3"
"492954","3"
"494782","1"
"497428","2"
"502001","2"
"503220","3"
"503967","3"
"507124","1"
"508608","3"
"514307","1"
"517062","1"
"517628","2"
"517635","1"
"518635","3"
"519781","6"
"519872","3"
"521220","3"
"524676","2"
"526711","10"
"529485","1"
"530330","8"
"532070","2"
"534215","3"
"534664","4"
"536352","3"
"538708","6"
"540161","2"
"541219","14"
"544517","1"
"548462","2"
"550210","3"
"550667","1"
"550742","2"
"557979","3"
"558308","5"
"562350","7"
"563037","1"
"564137","2"
"566011","1"
"566179","2"
"566570","4"
"567303","1"
"567858","1"
"568970","1"
"570042","2"
"570605","2"
"572656","4"
"573079","6"
"575157","4"
"577048","3"
"579035","1"
"580817","7"
"582556","4"
"583955","3"
"585320","3"
"595002","1"
"595165","1"
"595873","1"
"597880","1"
"598949","2"
"602625","2"
"603271","3"
"604210","6"
"604290","3"
"605498","6"
"608120","7"
"609127","6"
"609553","1"
"610013","3"
"610080","6"
"611092","7"
"612015","12"
"612178","3"
"612957","7"
"616161","6"
"619921","3"
"620134","4"
"621189","2"
"622900","3"
"623159","2"
"623815","8"
"624898","3"
"626303","1"
"627353","2"
"630566","4"
"637090","8"
"639034","1"
"639125","2"
"640116","4"
"641810","1"
"642515","3"
"642834","7"
"646395","2"
"649141","7"
"649149","6"
"653304","3"
"654957","1"
"655042","3"
"655137","4"
"663440","1"
"663768","1"
"664673","7"
"665386","2"
"667412","3"
"670615","3"
"671512","5"
"672506","2"
"678873","5"
"679974","3"
"680206","2"
"681583","8"
"681991","1"
"684662","2"
"689170","3"
"691085","1"
"693974","1"
"695802","3"
"696307","2"
"697065","2"
"698245","2"
"699264","1"
"703272","17"
"703450","3"
"703757","3"
"704420","3"
"704798","7"
"707072","5"
"707785","2"
"708210","3"
"713064","7"
"713644","1"
"714308","3"
"714574","3"
"715113","2"
"717570","1"
"720710","6"
"721472","5"
"724257","2"
"725367","3"
"725387","3"
"728108","2"
"728143","12"
"730206","2"
"731146","3"
"731528","5"
"733971","6"
"735001","4"
"735193","3"
"740584","2"
"740812","5"
"740837","2"
"741663","3"
"743076","1"
"744530","8"
"746377","1"
"746816","3"
"751759","5"
"752108","1"
"757001","3"
"760166","7"
"761889","1"
"767408","1"
"767978","1"
"769268","3"
"769634","1"
"771535","2"
"777607","20"
"778990","3"
"781312","1"
"784848","1"
"785016","9"
"786093","5"
"788459","2"
"790592","3"
"790619","3"
"790676","1"
"797445","6"
"798266","2"
"800463","4"
"800685","9"
"804155","1"
"809602","2"
"811988","4"
"812105","3"
"812894","2"
"815740","7"
"818704","11"
"820289","5"
"822969","2"
"823821","4"
"825709","5"
"827518","3"
"827634","2"
"829707","1"
"834694","1"
"835012","2"
"835826","7"
"836398","1"
"839280","2"
"839697","2"
"840537","7"
"840901","2"
"841144","1"
"843122","5"
"843900","2"
"845623","6"
"847377","3"
"847930","4"
"851538","6"
"852297","2"
"855302","3"
"867171","4"
"868844","2"
"870648","2"
"875472","2"
"877392","1"
"877820","2"
"878837","5"
"879321","1"
"882130","2"
"882458","1"
"885804","1"
"886683","5"
"887565","4"
"888473","2"
"890085","1"
"890447","1"
"891018","5"
"892249","3"
"893757","3"
"894121","2"
"896901","5"
"897119","1"
"898660","0"
"899991","7"
"901034","4"
"901279","3"
"905029","7"
"906316","1"
"907302","2"
"909035","1"
"909750","2"
"909977","1"
"910465","21"
"910468","2"
"912580","4"
"912741","10"
"912850","7"
"912955","3"
"915999","4"
"917475","3"
"918627","2"
"918676","6"
"920542","3"
"926172","9"
"926920","3"
"929351","2"
"929720","3"
"932339","6"
"932866","2"
"934171","2"
"937459","2"
"938765","1"
"938897","2"
"939040","4"
"939677","4"
"939941","5"
"940529","1"
"941528","4"
"942139","4"
"946547","4"
"949064","8"
"949340","2"
"949543","1"
"949907","0"
"951487","4"
"951496","2"
"952019","8"
"954416","8"
"954521","8"
"955006","1"
"955915","2"
"957388","3"
"967773","5"
"970308","4"
"970612","4"
"971369","5"
"978350","2"
"978361","1"
"982718","6"
"984106","2"
"984525","2"
"986244","2"
"986831","2"
"991751","3"
"992997","1"
"994291","4"
"995253","3"
"996025","4"
"996588","3"
"998084","1"
"1003490","3"
"1005129","4"
"1005381","2"
"1007348","1"
"1010571","3"
"1010875","4"
"1011245","11"
"1019204","2"
"1019378","2"
"1026828","1"
"1028853","1"
"1031772","6"
"1032717","5"
"1036854","1"
"1038683","2"
"1039465","3"
"1041181","2"
"1042605","2"
"1045183","8"
"1046599","4"
"1046635","3"
"1047207","1"
"1048537","3"
"1048549","2"
"1051761","4"
"1054117","1"
"1055078","6"
"1055677","3"
"1055817","3"
"1056317","3"
"1057501","1"
"1058793","1"
"1059603","1"
"1062324","2"
"1063049","2"
"1068880","2"
"1075245","6"
"1079131","2"
"1081976","1"
"1082014","4"
"1082386","4"
"1082694","3"
"1085764","3"
"1085874","8"
"1086049","4"
"1088041","2"
"1088170","1"
"1088916","6"
"1089046","10"
"1093181","3"
"1098254","3"
"1099391","7"
"1106163","2"
"1108364","7"
"1108753","4"
"1109041","4"
"1109761","5"
"1112456","6"
"1113405","3"
"1116128","3"
"1117457","3"
"1118932","3"
"1120190","6"
"1123937","3"
"1124954","1"
"1125330","2"
"1130360","2"
"1131188","3"
"1134119","1"
"1136405","2"
"1137361","1"
"1139856","6"
"1140047","2"
"1147220","2"
"1147308","3"
"1149996","5"
"1151450","4"
"1152872","7"
"1154114","1"
"1155304","1"
"1155553","4"
"1160146","1"
"1161022","4"
"1162484","1"
"1162504","2"
"1163921","5"
"1166952","6"
"1167208","2"
"1167525","1"
"1167641","3"
"1170738","3"
"1171828","2"
"1172598","3"
"1172709","5"
"1175200","1"
"1175828","2"
"1178874","1"
"1179053","1"
"1180152","1"
"1180365","4"
"1192141","2"
"1193529","5"
"1193578","2"
"1194443","2"
"1195396","3"
"1195439","2"
"1195728","3"
"1196217","5"
"1199058","6"
"1199761","3"
"1205238","1"
"1207620","1"
"1209789","2"
"1211128","6"
"1211487","1"
"1212251","2"
"1214011","4"
"1214026","1"
"1214387","3"
"1214582","3"
"1214621","12"
"1214869","3"
"1216293","3"
"1217302","1"
"1218284","3"
"1220046","12"
"1222974","7"
"1223667","3"
"1226213","3"
"1227186","1"
"1228439","3"
"1228701","5"
"1228998","2"
