id,favorite
"328","181"
"657","5"
"5611","3"
"15266","6"
"16861","30"
"28369","1"
"36877","34"
"38875","11"
"39929","1"
"49455",""
"54230","32"
"55218","6"
"55643","4"
"60174","3668"
"64631","5"
"69979","1"
"70653","5"
"71328","33"
"73947","176"
"74358","18"
"76359","1"
"80612","4"
"90413","4"
"93100","1"
"97984","145"
"110575","126"
"112768",""
"120977",""
"123499","1"
"127638","0"
"129677","486"
"131017","3"
"131902","3"
"132134","5"
"134099","433"
"140439","58"
"143632","2"
"146839","1"
"148068",""
"154844","3"
"157938","58"
"159114","1"
"172040","16"
"172392","2"
"173727","4"
"187434",""
"187736","21"
"189555","126"
"199017","12"
"211483",""
"213683",""
"214431",""
"216324",""
"218531","4"
"220437","16"
"223800","7"
"226155","1"
"230845","4"
"232228","6"
"241953",""
"242118","2"
"243426",""
"244952","1"
"256172","42"
"258625","5"
"260236","10"
"260664","5"
"269713","6"
"278571","2"
"281485","1"
"286938","22"
"291874",""
"297850","2"
"298535","4"
"322607","4"
"325323",""
"329956","2"
"334776","3"
"335677","0"
"335888","1"
"336575","4"
"339180","1"
"339603","21"
"343995","4"
"346826","3"
"347088",""
"354021",""
"358772","0"
"362461","3"
"368329","0"
"372465","1"
"373761",""
"379387",""
"388800","44"
"394214","3"
"395652",""
"401656","627"
"410150","1"
"410392","15"
"413137",""
"414034","9"
"419738",""
"423369","0"
"426294",""
"431698","5"
"436220","95"
"437962","1"
"443988","1"
"446467","1"
"446986",""
"447600",""
"451583","1"
"451601",""
"451623","2"
"456546","1"
"457014","1"
"459614",""
"461800","7"
"463832","9"
"465180",""
"466748","0"
"474698",""
"475216","6"
"475928",""
"477649","10"
"478251","3"
"481743","4"
"481995",""
"487889","3"
"488804","8"
"492340","0"
"493531",""
"498521","4"
"498630","1"
"499062",""
"501231","34"
"503666","4"
"509449",""
"523629","20"
"524908","1"
"525056","2"
"526438","1"
"534742","2"
"543096",""
"544239","8"
"544433","19"
"545294","2"
"556572",""
"564632","2"
"565425","2"
"568247",""
"568609","3"
"568657","7"
"568924",""
"568995","19"
"569871",""
"577507",""
"583592","2"
"585358","2"
"585891",""
"588803",""
"591300",""
"595114","3"
"598844","1"
"599509","1"
"599535","10"
"602539","36"
"604634","3"
"606098","0"
"606099","1"
"606179","50"
"608112","2"
"613680",""
"619620",""
"619991","4"
"623788","2"
"629695",""
"633109","1"
"636912",""
"638057","1"
"642007",""
"646425",""
"647514","10"
"648307",""
"650101","2"
"650979",""
"651481",""
"651902","3"
"652300","24"
"654688","1"
"655691",""
"656329",""
"659197","11"
"659657","1"
"659737",""
"660175",""
"661084","11"
"663490","4"
"666828","3"
"675172",""
"679756","2"
"688766","2"
"690108","2"
"693270","2"
"693826",""
"697134",""
"701078","7"
"701687",""
"703704",""
"703963","2"
"705636","1"
"713165","1"
"717776",""
"721436",""
"723791","12"
"723856","1"
"723945","3"
"728164","9"
"729041","2"
"729130",""
"732561","5"
"738500","6"
"738776",""
"742730",""
"749682","14"
"753081","0"
"759149","1"
"762221",""
"768442","3"
"768677","2"
"772502","1"
"778382","33"
"779917",""
"782785",""
"789599",""
"790086",""
"790232","10"
"792097","4"
