id,favorite
"7260","23"
"8451","7"
"10635","36"
"11762","6"
"17670",""
"18448","1"
"21965","13"
"29346","7"
"42115","1"
"47262",""
"49211","1"
"50684","2"
"53824",""
"54991","58"
"59893","10"
"64469",""
"71077","4"
"71146","1"
"74443","1"
"83553",""
"86458","26"
"94809",""
"98074","1"
"100919",""
"102382","3"
"103177",""
"108518","8"
"118599","2"
"120116","1"
"121493",""
"124674",""
"124885",""
"129544","1"
"129629","1"
"136219",""
"141399",""
"144605","1"
"146973",""
"148879","7"
"150737","4"
"152419","2"
"154430","17"
"155400",""
"158800",""
"160373",""
"162031","1"
"165808","287"
"166617","1"
"167252","1"
"169222","6"
"170689","7"
"172951",""
"177363","1"
"178578","5"
"179425","1"
"181581","2"
"188134","1"
"192134","17"
"196177","1"
"197388","3"
"198071",""
"198625","1"
"201153","3"
"202011","359"
"206438","32"
"206793",""
"209242","10"
"211169","3"
"211941",""
"212510","38"
"212763","5"
"213568",""
"229596","9"
"234234",""
"234872",""
"239463","1"
"239979","2"
"240224","3"
"243646","40"
"243995","0"
"244019","1"
"244152",""
"246822","2"
"249540","2"
"249567","6"
"252882","4"
"252974",""
"254980",""
"255171","4"
"258889","3"
"261785",""
"261873","4"
"262756",""
"264889","1"
"269101","1"
"270010",""
"270625",""
"272112","1"
"273452","72"
"280923",""
"281068","1"
"281843",""
"283726","3"
"284500","0"
"288732","10"
"289601","2"
"290548","278"
"291744",""
"295538","102"
"297498",""
"298363","28"
"299793","1"
"300582","6"
"301024","12"
"308756","15"
"311677","5"
"312621","0"
"317652","4"
"318039","0"
"319508","2"
"321128","3"
"326818","46"
"327654","3"
"331468","1"
"332477","1"
"341956",""
"343488","1"
"344774","1"
"354068","1"
"359342","39"
"360259","6"
"360838","2"
"379276","3"
"379319",""
"379445",""
"379941","1"
"380336","4"
"382353",""
"382383","1"
"384725",""
"386982","7"
"390853","1"
"393118",""
"396324","1"
"399155",""
"416771","1"
"424517","3"
"425688","14"
"428478",""
"430386","1"
"430599",""
"431013","9"
"432570","1"
"432753",""
"434404",""
"436760",""
"437864",""
"438142","1"
"438704","4"
"439253","2"
"440200","2"
"442658",""
"443411","2"
"444248","4"
"446981","1"
"447785",""
"450380","20"
"453404","0"
"454368","1"
"454771","1"
"456837",""
"457307",""
"459182","18"
"462160",""
"462264","0"
"464478",""
"464580",""
"466482","4"
"467150",""
"473173","16"
"473687","39"
"474259",""
"475421","8"
"476701",""
"477863",""
"478498","8"
"480358","7"
"481098","1"
"481160","83"
"483197",""
"485103",""
"486000","1"
"492954","1"
"494782",""
"497428","6"
"502001",""
"503220","1"
"503967",""
"507124","1"
"508608","3"
"514307",""
"517062",""
"517628","0"
"517635","3"
"518635",""
"519781","2"
"519872",""
"521220",""
"524676","3"
"526711","50"
"529485","2"
"530330","22"
"532070",""
"534215","5"
"534664","1"
"536352","14"
"538708","2"
"540161","1"
"541219","10"
"544517",""
"548462",""
"550210","5"
"550667",""
"550742","2"
"557979","4"
"558308",""
"562350","15"
"563037","11"
"564137","1"
"566011","1"
"566179","1"
"566570","30"
"567303","1"
"567858",""
"568970","1"
"570042","7"
"570605",""
"572656","0"
"573079","10"
"575157","4"
"577048",""
"579035","2"
"580817","5"
"582556","4"
"583955","1"
"585320","1"
"595002","3"
"595165","1"
"595873","0"
"597880",""
"598949",""
"602625",""
"603271",""
"604210","9"
"604290",""
"605498","2"
"608120","7"
"609127","4"
"609553",""
"610013",""
"610080","1"
"611092","5"
"612015","11"
"612178","2"
"612957","9"
"616161",""
"619921","1"
"620134",""
"621189",""
"622900","1"
"623159","2"
"623815","7"
"624898","2"
"626303","2"
"627353",""
"630566","1"
"637090","3"
"639034",""
"639125",""
"640116","5"
"641810","1"
"642515","1"
"642834","1"
"646395","11"
"649141","7"
"649149","7"
"653304","2"
"654957",""
"655042","1"
"655137","3"
"663440",""
"663768",""
"664673","63"
"665386","1"
"667412","1"
"670615","2"
"671512","1"
"672506","2"
"678873","2"
"679974",""
"680206",""
"681583","13"
"681991","1"
"684662",""
"689170",""
"691085",""
"693974",""
"695802","25"
"696307","2"
"697065","1"
"698245",""
"699264","1"
"703272","106"
"703450","2"
"703757","2"
"704420",""
"704798",""
"707072",""
"707785","1"
"708210","9"
"713064",""
"713644","1"
"714308","1"
"714574",""
"715113",""
"717570",""
"720710","4"
"721472","4"
"724257",""
"725367",""
"725387",""
"728108","1"
"728143","18"
"730206","1"
"731146",""
"731528",""
"733971",""
"735001",""
"735193",""
"740584",""
"740812","1"
"740837","6"
"741663",""
"743076",""
"744530","6"
"746377",""
"746816","2"
"751759",""
"752108","2"
"757001","5"
"760166","5"
"761889",""
"767408","1"
"767978",""
"769268","6"
"769634","1"
"771535",""
"777607","48"
"778990","1"
"781312",""
"784848",""
"785016","3"
"786093","1"
"788459",""
"790592","4"
"790619","1"
"790676","1"
"797445","1"
"798266","0"
"800463","5"
"800685","72"
"804155",""
"809602",""
"811988",""
"812105","10"
"812894",""
"815740","4"
"818704","37"
"820289","2"
"822969","1"
"823821","2"
"825709","1"
"827518",""
"827634",""
"829707",""
"834694","1"
"835012","0"
"835826","6"
"836398",""
"839280",""
"839697","1"
"840537","52"
"840901",""
"841144","1"
"843122","1"
"843900","1"
"845623","4"
"847377",""
"847930",""
"851538","1"
"852297",""
"855302",""
"867171","7"
"868844","1"
"870648",""
"875472","19"
"877392",""
"877820",""
"878837","3"
"879321",""
"882130",""
"882458",""
"885804",""
"886683",""
"887565",""
"888473","2"
"890085","8"
"890447",""
"891018","1"
"892249","2"
"893757","1"
"894121","3"
"896901","10"
"897119","0"
"898660",""
"899991","6"
"901034","7"
"901279",""
"905029",""
"906316",""
"907302","2"
"909035",""
"909750","2"
"909977",""
"910465","33"
"910468","1"
"912580","2"
"912741","15"
"912850","0"
"912955","8"
"915999","2"
"917475",""
"918627","1"
"918676","29"
"920542",""
"926172","14"
"926920",""
"929351","5"
"929720","3"
"932339","9"
"932866","2"
"934171",""
"937459","1"
"938765",""
"938897",""
"939040","10"
"939677","11"
"939941","1"
"940529",""
"941528","1"
"942139","3"
"946547",""
"949064","1"
"949340","9"
"949543","4"
"949907","0"
"951487","1"
"951496","0"
"952019",""
"954416","2"
"954521","1"
"955006","2"
"955915","2"
"957388","22"
"967773","3"
"970308","2"
"970612","1"
"971369","6"
"978350","6"
"978361",""
"982718",""
"984106",""
"984525","3"
"986244",""
"986831",""
"991751",""
"992997",""
"994291","1"
"995253",""
"996025",""
"996588","4"
"998084","1"
"1003490","1"
"1005129",""
"1005381",""
"1007348",""
"1010571","1"
"1010875",""
"1011245","15"
"1019204","10"
"1019378",""
"1026828",""
"1028853","2"
"1031772",""
"1032717","1"
"1036854","3"
"1038683",""
"1039465","7"
"1041181","2"
"1042605","1"
"1045183","1"
"1046599","13"
"1046635","3"
"1047207",""
"1048537",""
"1048549",""
"1051761","6"
"1054117",""
"1055078",""
"1055677",""
"1055817",""
"1056317","1"
"1057501",""
"1058793","4"
"1059603",""
"1062324","1"
"1063049",""
"1068880","1"
"1075245","15"
"1079131","2"
"1081976","1"
"1082014","3"
"1082386",""
"1082694",""
"1085764","1"
"1085874","1"
"1086049","9"
"1088041",""
"1088170",""
"1088916",""
"1089046","15"
"1093181","3"
"1098254","1"
"1099391","4"
"1106163","2"
"1108364","2"
"1108753",""
"1109041","1"
"1109761","3"
"1112456",""
"1113405",""
"1116128","1"
"1117457",""
"1118932",""
"1120190","6"
"1123937",""
"1124954",""
"1125330",""
"1130360","1"
"1131188",""
"1134119","3"
"1136405","4"
"1137361",""
"1139856","7"
"1140047",""
"1147220","2"
"1147308","2"
"1149996","25"
"1151450","7"
"1152872","2"
"1154114",""
"1155304",""
"1155553","7"
"1160146","2"
"1161022","7"
"1162484","1"
"1162504","12"
"1163921","3"
"1166952","6"
"1167208","1"
"1167525",""
"1167641","3"
"1170738","4"
"1171828","5"
"1172598",""
"1172709","2"
"1175200",""
"1175828",""
"1178874",""
"1179053","0"
"1180152","1"
"1180365","6"
"1192141","1"
"1193529","59"
"1193578",""
"1194443",""
"1195396",""
"1195439","1"
"1195728","15"
"1196217",""
"1199058","34"
"1199761","2"
"1205238",""
"1207620",""
"1209789",""
"1211128","2"
"1211487",""
"1212251","1"
"1214011","5"
"1214026","3"
"1214387","5"
"1214582","4"
"1214621","15"
"1214869",""
"1216293","1"
"1217302","3"
"1218284","4"
"1220046","30"
"1222974","27"
"1223667",""
"1226213","1"
"1227186",""
"1228439","5"
"1228701","40"
"1228998","1"
"1230156","1"
"1231178","12"
"1235218",""
"1235883","2"
"1236452","6"
"1236698","1"
"1240284",""
"1240851",""
"1242663","1"
"1242814","1"
"1242993","2"
"1243257",""
"1244461",""
"1246091","1"
"1251463","8"
"1252335","24"
"1253814","3"
"1254089",""
"1255996","3"
"1257299","10"
"1257812","0"
"1259053",""
"1259561","17"
"1261021",""
"1261511",""
"1261725",""
"1262081","8"
"1262262","0"
"1264367","1"
"1265037",""
"1265810","1"
"1266117","1"
"1266367","1"
"1266516","1"
"1266652",""
"1267122",""
"1271199",""
"1273599","6"
"1275196","3"
"1275996","1"
"1276039",""
"1276817",""
"1277185","6"
"1277226","4"
"1278099","1"
"1278400",""
"1278806",""
"1281102","2"
"1282602","11"
"1286795","3"
"1288265","0"
"1290167","1"
"1293003",""
"1293905","1"
"1300890","15"
"1301980",""
"1302113","1"
"1303026","2"
"1303761","0"
"1307204","52"
"1311986",""
"1312292",""
"1314055","1"
"1315604",""
"1316826","8"
"1319375",""
"1320345","2"
"1321080",""
"1321419","13"
"1321466",""
"1323067","1"
"1327404",""
"1329169","1"
"1329833","3"
"1330223","1"
"1331081","1"
"1331792",""
"1331887","20"
"1332237",""
"1334631","12"
"1334675",""
"1335086","3"
"1337923","9"
"1339942",""
"1344652",""
"1345851","1"
"1347098",""
"1350516","1"
"1350998",""
"1352483","1"
"1353933","1"
"1356051","5"
"1356102","9"
"1357569","1"
"1358836","1"
"1359956",""
"1360322",""
"1361886",""
"1362334",""
"1362515",""
"1363290","1"
"1364922","2"
"1365041",""
"1367653","0"
"1367774","1"
"1372243",""
"1372987",""
"1373887","3"
"1377316",""
"1378902",""
"1379767",""
"1381264","46"
"1385507","1"
"1391342",""
"1397197",""
"1398671","1"
"1398843",""
"1400481","1"
"1401639","0"
"1401667","23"
"1403692","0"
"1406034","1"
"1407042",""
"1407932",""
"1409540",""
"1409663","1"
"1410652","3"
"1419800","13"
"1421064","1"
"1425719",""
"1426117","4"
"1428590","4"
"1432196","2"
"1436252","1"
"1437312","1"
"1438196",""
"1439900",""
"1441411",""
"1442538",""
"1444153","7"
"1445388","3"
"1446213","2"
"1447045",""
"1451189",""
"1454929",""
"1455434","1"
"1457084",""
"1458260",""
"1459501","2"
"1460546",""
"1461036",""
"1461088","2"
"1462375",""
"1464582",""
"1466077",""
"1466738",""
"1468462",""
"1468615",""
"1470077","1"
"1471130",""
"1471239","1"
"1474297",""
"1476891","3"
"1476989",""
"1478992",""
"1479769",""
"1481793",""
"1482476","11"
"1482990",""
"1483348","3"
"1483892","81"
"1484065",""
"1484440","5"
"1488526",""
"1488680","2"
"1489069","2"
"1489192","1"
"1492118",""
"1494705","1"
"1496793","15"
"1497287","3"
"1498211","1"
"1498936",""
"1501230",""
"1501803",""
"1501966","2"
"1502781",""
"1503974","2"
"1504097",""
"1505179",""
"1505382","1"
"1507452",""
"1508082","1"
"1508375","1"
"1508998",""
"1509154","1"
"1510599",""
"1510928",""
"1512291","1"
"1513267",""
"1513519","1"
"1513668","3"
"1518180",""
"1521189","8"
"1521249","3"
"1524227",""
"1524596","2"
"1525378","12"
"1525658","2"
"1527854","1"
"1528928","1"
"1529208",""
"1529977","0"
"1530844","1"
"1531113","1"
"1532014","5"
"1532188","1"
"1533134",""
"1533874",""
"1534061","3"
"1534908","9"
"1536566",""
"1536758","1"
"1538099",""
"1543944","2"
"1546447",""
"1548053",""
"1548075",""
"1552060",""
"1555936",""
"1556056","16"
"1557544",""
"1558718",""
"1564182",""
"1566893","0"
"1570422","21"
"1571455","0"
"1571703",""
"1571712",""
"1573710",""
"1574224","0"
"1575275",""
"1575577",""
"1575586","6"
"1578562","1"
"1579670",""
"1588126",""
"1589289",""
"1589430",""
"1590183",""
"1595848","105"
"1596021","1"
"1597074","1"
"1600743","4"
"1603585",""
"1603801",""
"1606164",""
"1606192",""
"1607227",""
"1608522","2"
"1610218","2"
"1614784",""
"1615117","10"
"1617277",""
"1619914","2"
"1622495","6"
"1623958","1"
"1625638",""
"1626924",""
"1628305","5"
"1629828","10"
"1629992","1"
"1631819","7"
"1632351",""
"1632748",""
"1633999",""
"1635020","1"
"1635910",""
"1637281","1"
"1638434",""
"1639035","2"
"1640223","1"
"1642483","18"
"1643636","13"
"1643647","1"
"1644828","1"
"1648618","27"
"1652301","9"
"1652914",""
"1653900","1"
"1656190",""
"1661091",""
"1661147","2"
"1662133",""
"1662439",""
"1663361","2"
"1665472",""
"1666588","4"
"1666814",""
"1668248","2"
"1668353","15"
"1668506",""
"1668565",""
"1669456","1"
"1671694",""
"1673153",""
"1677200",""
"1678555","17"
"1679659",""
"1680565","2"
"1685805","1"
"1686805","0"
"1691424","3"
"1699149",""
"1699335",""
"1701885","1"
"1702324","1"
"1702426","13"
"1705963","1"
"1707062",""
"1708317",""
"1708415",""
"1709452","1"
"1713133","1"
"1715434","3"
"1716989",""
"1722305","3"
"1725138","1"
"1731773","2"
"1734374",""
"1742265","1"
"1742810","2"
"1744218","1"
