id,favorite
"8318","5"
"14617","117"
"16451","7"
"17376","2"
"24723","21"
"29357",""
"33745","11"
"34638",""
"37343",""
"39564","1"
"39916","11"
"49226","3"
"49473","2"
"65494",""
"76324",""
"77686",""
"84641","1"
"90517",""
"102788",""
"103203","1"
"108838",""
"119926","3"
"120380","3"
"127459",""
"127739",""
"132384",""
"159282",""
"166411",""
"168610","22"
"171519","71"
"174131","1"
"185211","2"
"186125",""
"196845","2"
"205183","1"
"211099",""
"217511","9"
"219944","3"
"219999","9"
"242669","1"
"257015","1"
"276310","4"
"277044","36"
"277100","1"
"290545","1"
"295515","1"
"295628","7"
"297952","1"
"302357","0"
"308659","4"
"309615","9"
"313730","14"
"315132","10"
"318214",""
"321061","3"
"321787","7"
"323939",""
"324726","5"
"333812",""
"347856","4"
"348090","1"
"350177",""
"353815","1"
"359620","2"
"360520","57"
"362386","1"
"388749","5"
"395375","2"
"398179",""
"398537","1"
"401985","9"
"404027","2"
"407687",""
"429352","2"
"435912","2"
"442862","40"
"442995",""
"461886","0"
"475833","2"
"477144","23"
"479535","8"
"491109",""
"493646","1"
"495392","2"
"506939","1"
"521101","31"
"521418","11"
"522723","1"
"525408",""
"528938","1"
"529997","9"
"539816","1"
"540738",""
"546242","1"
"546438","20"
"546447",""
"552108","0"
"556110",""
"557746",""
"561024","1"
"573121","1"
"573307","2"
"578679","3"
"579224","2"
"594049",""
"605589",""
"607560","9"
"617471","0"
"633890","1"
"635088","1"
"635171","8"
"639680",""
"645609",""
"646195","9"
"656373",""
"656787",""
"658826","2"
"659950",""
"663890","5"
"663910",""
"668958",""
"673355","4"
"674510","1"
"685855","10"
"685937",""
"686481","5"
"699254","3"
"700529","2"
"713344",""
"715969",""
"717854","5"
"727812","5"
"728047",""
"728324",""
"728531","5"
"733435",""
"734887",""
"738071","1"
"738188","1"
"752332","3"
"760358","3"
"761588","12"
"766675","1"
"770635","7"
"772011","0"
"773912","3"
"779973",""
"788834",""
"788844","1"
"789759","1"
"791677",""
"800904",""
"800922","2"
"801458","1"
"805686","2"
"806131","20"
"809590","5"
"819593",""
"820334",""
"821817","1"
"824919",""
"827604",""
"837417",""
"841152","2"
"855103",""
"856302","1"
"857153","2"
"857194","1"
"858036","5"
"861221",""
"862350",""
"868078",""
"871966","2"
"877317","0"
"877562",""
"881661","1"
"885439",""
"892733","7"
"898026",""
"912668","1"
"914509","1"
"915039","8"
"919983","2"
"922779","9"
"929939","1"
"935218",""
"937168","17"
"937503","2"
"948177",""
"956639","1"
"960415","2"
"960990",""
"961339",""
"964071","22"
"965304","2"
"973194","2"
"975307","2"
"975399","2"
"976696",""
"981226",""
"983964","7"
"988926",""
"994404",""
"996139","108"
"1000860","1"
"1003960",""
"1004586","1"
"1008601",""
"1011538","2"
"1011777","2"
"1016522","2"
"1017150",""
"1018292","1"
"1022994",""
"1023486","1"
"1025466","4"
"1036872",""
"1037250","1"
"1037798","2"
"1037813",""
"1042635","1"
"1042904",""
"1043621","4"
"1045988","27"
"1049653","4"
"1057041","4"
"1059723",""
"1066702","1"
"1066976","1"
"1067869",""
"1070420","5"
"1087224",""
"1091022","2"
"1094137","4"
"1096151",""
"1100299",""
"1108937",""
"1109731",""
"1112962",""
"1118654",""
"1119868",""
"1119947","2"
"1121280","7"
"1126684","3"
"1127358",""
"1131733","1"
"1139493","2"
"1141040","1"
"1142101",""
"1142477","2"
"1150965","1"
"1157425","2"
"1158195","0"
"1159729","23"
"1163319","0"
"1164245",""
"1165632","0"
"1166433","1"
"1168821","0"
"1171103","4"
"1171627",""
"1175008","3"
"1176579",""
"1176929","3"
"1178061",""
"1181259",""
"1184543","2"
"1184789","1"
"1193220",""
"1198316","2"
"1198756","2"
"1201048","32"
"1203317","1"
"1207292",""
"1209525","4"
"1211822","2"
"1214151","2"
"1216242",""
"1221118",""
"1224021","24"
"1225720",""
"1226177","1"
"1229588",""
"1235556","3"
"1241947","46"
"1250689","0"
"1252140",""
"1258104",""
"1258706","0"
"1263980",""
"1275045","0"
"1275814","1"
"1276498",""
"1277276",""
"1278974","5"
"1280702","4"
"1283352","2"
"1286837",""
"1292228",""
"1294486",""
"1297625",""
"1297696","1"
"1300169","3"
"1304456","1"
"1307251","3"
"1308347",""
"1309280",""
"1312984","0"
"1317506",""
"1318148","3"
"1319320","3"
"1321557","6"
"1323551","1"
"1326036","4"
"1326770",""
"1326858","2"
"1329730","2"
"1335880",""
"1339787",""
"1341908",""
"1342955",""
"1343065",""
"1345131",""
"1345691",""
"1349566",""
"1349938","7"
"1350030",""
"1354380","4"
"1357149","1"
"1357553",""
"1368034",""
"1372466","2"
"1373407","16"
"1375002","1"
"1379434","3"
"1381205","13"
"1381409",""
"1382215","1"
"1382303","5"
"1383869",""
"1384236",""
"1384282","11"
"1385082","2"
"1386139","1"
"1387073","1"
"1389055",""
"1389176",""
"1389754","4"
"1391132","24"
"1391280",""
"1391328","4"
"1391692","8"
"1394267",""
"1394616",""
"1397091","6"
"1398703","2"
"1399157","0"
"1401454","1"
"1401895",""
"1405872",""
"1408227",""
"1412195",""
"1412239","1"
"1415673",""
"1416582",""
"1419069","2"
"1420138","3"
"1420761","3"
"1421245","1"
"1424947","3"
"1430316",""
"1441209","1"
"1442054","3"
"1448072","1"
"1450459",""
"1459902","4"
"1460208","2"
"1462957",""
"1464237","3"
"1465704","2"
"1466011","1"
"1473186",""
"1475991","1"
"1478887",""
"1480974",""
"1481443","17"
"1483595","4"
"1487749",""
"1488440","1"
"1497204","2"
"1502835","1"
"1511723",""
"1512712","1"
"1514282","1"
"1519952",""
"1522869","9"
"1523020",""
"1527735","2"
"1529475",""
"1530949","2"
"1531721",""
"1531881",""
"1535053","1"
"1548079",""
"1570493","1"
"1579084","0"
"1581287","1"
"1583902",""
"1584552","4"
"1584825","1"
"1586012",""
"1587423","4"
"1587695","7"
"1589850",""
"1590103","3"
"1593037","0"
"1594206","7"
"1597002","3"
"1597421",""
"1598541","1"
"1599087","1"
"1601560","4"
"1606494",""
"1608706","4"
"1609559","1"
"1612222",""
"1617649",""
"1620823","1"
"1622834","2"
"1622947","1"
"1624846","31"
"1625111","1"
"1626163","3"
"1628138","5"
"1628308",""
"1629415","1"
"1634324","2"
"1636572",""
"1646394",""
"1649515",""
"1649968",""
"1657601","1"
"1667996","2"
"1669103",""
"1678539","2"
"1691830","3"
"1696203",""
"1713299",""
"1715036","25"
"1715605",""
"1715628","1"
"1719033","1"
"1719875",""
"1724598","1"
"1732789","4"
"1741160","8"
"1742740","1"
"1744165","1"
"1749423",""
"1751625","0"
"1752477","9"
"1756338",""
"1759035",""
"1761155","1"
"1762803","1"
"1765222","1"
"1766822","3"
"1767117","2"
"1770942",""
"1775957",""
"1776827","3"
"1777483","5"
"1778897","1"
"1778977",""
"1781905","1"
"1788150","19"
"1791060",""
"1792541","5"
"1793188","1"
"1793979","29"
"1799022","1"
"1800662",""
"1805214",""
"1807301",""
"1820386",""
"1822119",""
"1829879",""
"1832073",""
"1833167",""
"1842373",""
"1847357","3"
"1852263",""
"1858448","5"
"1866225","2"
"1867269",""
"1874313",""
"1877242","5"
"1880169","5"
"1883929","1"
"1884347",""
"1885199",""
"1885423",""
"1885516",""
"1887870","4"
"1892238",""
"1895955","1"
"1906622",""
"1908980","3"
"1917245","1"
"1919885","7"
"1920973","3"
"1929340","7"
"1936846","1"
"1943377",""
"1951212","1"
"1958710",""
"1959272","0"
"1961162","2"
"1962271","4"
"1963521",""
"1966154","8"
"1967963",""
"1971091",""
"1975730",""
"1976821","4"
"1984269",""
"1990576",""
"1991477",""
"1991676",""
"1993756",""
"1995639",""
"1996613","1"
"1996954",""
"1997104",""
"1999602",""
"2000500",""
"2000875","1"
"2005243",""
"2006683","2"
"2015286",""
"2017286",""
"2020625",""
"2021263","2"
"2021392","1"
"2021706",""
"2022009",""
"2023109",""
"2024610","8"
"2025603",""
"2031020",""
"2031355",""
"2033315","7"
"2036099","1"
"2038760","2"
"2043936",""
"2045702","4"
"2047732","1"
"2048281","3"
"2050292","5"
"2058191",""
"2058225",""
"2062350",""
"2064073",""
"2067872",""
"2071405",""
"2075335","10"
"2077325","1"
"2079336",""
"2080656",""
"2094136","10"
"2095233",""
"2095430",""
"2096905",""
"2097894","1"
"2098718",""
"2100208","1"
"2105403",""
"2106601","4"
"2114814",""
"2116230",""
"2116569",""
"2122455","2"
"2125348",""
"2127014",""
"2130167","1"
"2130755",""
"2131522","3"
"2133229",""
"2135713",""
"2138325",""
"2138817","1"
"2139053","4"
"2140238",""
"2146271",""
"2147016","1"
"2147837",""
"2148799","3"
"2149314",""
"2154651",""
"2157900","1"
"2159849",""
"2163527",""
"2163975",""
"2165828","1"
"2168620","1"
"2170359",""
"2170720",""
"2173894","1"
"2174329",""
"2174651",""
"2178106","3"
"2179520","17"
"2185103","2"
"2185421","1"
"2192354","1"
"2194627",""
"2195653","4"
"2198853",""
"2199017",""
"2200212","2"
"2201419","1"
"2205694","1"
"2206054","1"
"2206250","4"
"2210011","1"
"2213200",""
"2223759",""
"2225474",""
"2225644","9"
"2225720","16"
"2227225","2"
"2227351","4"
"2234605","1"
"2235158","62"
"2235434","5"
"2237988",""
"2239069","1"
"2239192","1"
"2241507",""
"2241769","2"
"2244559","1"
"2244796","0"
"2244819","1"
"2245737","1"
"2250087",""
"2253061","31"
"2255371",""
"2261300","8"
"2261506",""
"2264661",""
"2265199",""
"2266724","1"
"2268827",""
"2273993",""
"2274714",""
"2277463",""
"2279621","2"
"2289827","1"
"2289867",""
"2290116","0"
"2293902","1"
"2298853","1"
"2301457","1"
"2307946","1"
"2310558","35"
"2311811",""
"2321643",""
"2328678",""
"2331951",""
"2332321",""
"2333586","7"
"2335244","2"
"2341741",""
"2341860",""
"2345076","1"
"2346451",""
"2346765",""
"2346927",""
"2348789",""
"2349222","0"
"2356373",""
"2358047",""
"2363716",""
"2366698","1"
"2374527","1"
"2375541","10"
"2384085","1"
"2393203",""
"2394762",""
"2398269","1"
"2399007","1"
"2401706","9"
"2405199",""
"2410477",""
"2411096","18"
"2413276","1"
"2419854",""
"2430431",""
"2437800",""
"2441615",""
"2442264","1"
"2443155",""
"2444635",""
"2445217",""
"2446366",""
"2448256","29"
"2453341","0"
"2453524","1"
"2453944",""
"2455056",""
"2456714",""
"2460608","1"
"2460941",""
"2463306",""
"2465260","1"
"2467419",""
"2469644","0"
"2470035",""
"2470879",""
"2475510",""
"2475695",""
"2477546","1"
