id,ncomments
"8021","0"
"29061","0"
"33412","0"
"33829","0"
"39135","0"
"43199","0"
"57384","0"
"70170","0"
"72304","0"
"78869","0"
"84096","4"
"84680","3"
"96945","0"
"97137","1"
"102425","0"
"102778","0"
"112396","3"
"116415","2"
"123902","0"
"126798","0"
"137212","3"
"140113","0"
"143523","0"
"150167","0"
"153220","0"
"161160","0"
"163113","2"
"178479","7"
"181341","6"
"182133","0"
"183830","0"
"190376","1"
"190912","0"
"221149","0"
"232584","2"
"232839","0"
"233217","2"
"244283","0"
"248562","1"
"256899","0"
"267738","1"
"271090","0"
"271518","0"
"288289","0"
"288500","4"
"295163","0"
"295436","0"
"300334","0"
"303028","0"
"304268","5"
"308609","0"
"309202","0"
"311243","0"
"318781","2"
"319634","2"
"320355","0"
"320477","0"
"325637","0"
"338578","0"
"339004","0"
"339531","0"
"340820","1"
"346225","0"
"347056","0"
"353010","0"
"361231","0"
"363329","0"
"367530","0"
"368792","0"
"372268","3"
"373518","0"
"376551","3"
"376561","0"
"377901","0"
"385907","0"
"390150","0"
"407990","0"
"411037","0"
"411331","0"
"415953","3"
"427046","1"
"427821","1"
"430755","0"
"437375","0"
"438508","0"
"440463","1"
"443151","2"
"453925","0"
"472739","1"
"473566","0"
"476640","0"
"480895","0"
"485023","0"
"494860","0"
"496651","1"
"510846","0"
"517527","0"
"520255","0"
"530972","0"
"531096","0"
"537596","3"
"543896","0"
"545082","0"
"545667","0"
"547219","1"
"552982","0"
"556670","0"
"561938","0"
"565531","0"
"567482","0"
"568227","3"
"570450","0"
"571081","0"
"580686","0"
"581655","0"
"587357","0"
"592403","0"
"610896","0"
"612121","0"
"622732","0"
"626043","0"
"628416","3"
"636172","0"
"637496","1"
"646224","1"
"663397","0"
"683885","0"
"684081","0"
"687291","0"
"687787","0"
"691222","0"
"696793","0"
"700476","0"
"705728","1"
"706856","0"
"719556","0"
"719747","0"
"723129","7"
"729195","0"
"729203","1"
"733753","1"
"752890","1"
"754205","0"
"756133","3"
"759722","0"
"759800","2"
"762459","5"
"770969","0"
"785652","1"
"785973","0"
"797090","0"
"800172","0"
"804023","0"
"805153","0"
"805329","3"
"806169","0"
"808988","1"
"810493","3"
"811590","1"
"812275","0"
"820261","0"
"825638","1"
"829522","0"
"836007","0"
"836281","0"
"836520","0"
"839051","0"
"839213","2"
"840279","0"
"841446","0"
"842222","0"
"846957","0"
"848205","3"
"848734","1"
"850497","1"
"851093","1"
"851623","0"
"852453","2"
"853332","0"
"859111","2"
"859218","2"
"862571","0"
"865460","6"
"867751","0"
"868776","0"
"869255","0"
"869589","3"
"874903","1"
"875467","1"
"885005","0"
"885810","0"
"886397","1"
"888346","0"
"889406","0"
"890935","0"
"900763","0"
"901251","0"
"906210","2"
"906402","2"
"908748","0"
"909979","0"
"914069","0"
"916061","2"
"920809","0"
"924968","0"
"925377","3"
"933483","0"
"934474","0"
"935666","1"
"937412","0"
"944679","3"
"948933","0"
"949190","0"
"950885","2"
"951477","0"
"955399","6"
"955624","2"
"956657","0"
"964547","1"
"967194","0"
"968565","1"
"975054","0"
"977321","1"
"979910","0"
"984644","1"
"986892","1"
"991703","1"
"992019","6"
"995035","0"
"995514","2"
"997304","0"
"1000347","3"
"1001179","2"
"1003365","0"
"1009766","2"
"1009996","0"
"1010356","0"
"1012363","1"
"1012792","1"
"1013032","3"
"1016372","1"
"1019837","1"
"1028388","0"
"1031558","0"
"1032721","0"
"1033947","0"
"1037009","0"
"1037590","3"
"1044986","0"
"1045895","0"
"1051953","1"
"1061171","1"
"1069142","0"
"1075128","2"
"1079077","0"
"1089600","0"
"1093202","0"
"1093817","0"
"1105913","4"
"1107007","0"
"1114685","0"
"1115739","0"
"1122324","1"
"1130904","0"
"1132567","0"
"1135446","3"
"1139447","0"
"1169123","0"
"1170185","0"
"1175074","0"
"1175352","2"
"1187949","2"
"1199802","1"
"1202535","2"
"1205135","2"
"1206494","1"
"1211333","0"
"1217046","0"
"1225633","2"
"1226083","0"
"1227478","3"
"1233206","0"
"1234598","0"
"1236481","5"
"1238763","2"
"1240575","0"
"1244607","0"
"1244717","0"
"1247637","0"
"1250319","0"
"1255083","0"
"1258404","0"
"1264262","0"
"1265488","0"
"1269359","0"
"1269735","0"
"1270703","1"
"1277378","0"
"1283982","0"
"1284771","2"
"1287450","1"
"1291584","1"
"1291978","1"
"1301297","0"
"1303220","6"
"1305243","5"
"1315833","0"
"1331257","0"
"1340366","1"
"1349170","0"
"1350432","0"
"1354803","1"
"1362115","0"
"1363452","0"
"1365187","5"
"1374170","0"
"1376674","0"
"1381335","4"
"1381965","1"
"1384968","0"
"1391643","0"
"1396375","1"
"1398556","0"
"1399505","0"
"1400023","2"
"1400255","0"
"1401248","0"
"1413184","6"
"1417271","1"
"1422977","1"
"1423520","0"
"1423741","0"
"1429610","1"
"1431486","0"
"1433336","1"
"1440030","7"
"1441548","0"
"1443632","0"
"1449932","2"
"1453085","0"
"1454021","0"
"1454519","3"
"1455856","0"
"1466709","6"
"1473604","0"
"1473997","0"
"1475061","0"
"1476963","0"
"1488404","0"
"1492043","0"
"1492762","0"
"1497297","0"
"1497322","2"
"1498108","1"
"1499115","0"
"1502465","0"
"1503241","1"
"1508314","3"
"1511674","6"
"1514112","0"
"1519435","1"
"1524107","0"
"1531740","0"
"1540007","0"
"1541585","0"
"1546817","1"
"1552330","0"
"1554799","1"
"1554912","2"
"1554970","3"
"1555476","1"
"1564446","0"
"1569736","0"
"1571999","1"
"1572813","0"
"1577081","0"
"1577290","3"
"1580012","0"
"1581759","0"
"1582115","1"
"1582161","3"
"1582537","0"
"1584177","0"
"1589164","0"
"1589216","0"
"1589996","0"
"1593253","0"
"1596187","1"
"1599012","2"
"1599443","0"
"1611365","0"
"1612191","0"
"1612485","1"
"1613212","1"
"1615871","0"
"1622492","3"
"1623865","0"
"1623924","0"
"1624137","1"
"1626549","1"
"1629958","0"
"1630712","1"
"1633750","0"
"1638170","0"
"1644059","0"
"1645747","0"
"1647759","0"
"1650596","0"
"1660845","0"
"1665736","0"
"1665963","0"
"1666028","1"
"1666052","1"
"1666866","1"
"1667215","0"
"1671504","0"
"1676513","1"
"1677465","1"
"1680190","2"
"1689237","0"
"1694466","4"
"1698864","2"
"1709441","2"
"1710423","0"
"1715296","2"
"1715941","0"
"1722984","0"
"1725863","0"
"1730019","2"
"1731966","5"
"1734558","0"
"1745603","0"
"1752621","0"
"1754144","3"
"1754215","0"
"1754915","0"
"1755757","0"
"1756801","1"
"1760785","0"
"1761365","0"
"1761482","0"
"1762391","1"
"1762453","1"
"1764064","2"
"1769015","0"
"1782528","1"
"1785199","0"
"1785555","0"
"1786325","0"
"1798829","5"
"1803254","1"
"1807432","3"
"1812891","3"
"1814048","1"
"1816141","0"
"1819228","0"
"1820995","3"
"1821178","0"
"1821545","1"
"1826075","0"
"1828388","0"
"1828775","1"
"1832640","3"
"1850445","0"
"1856552","1"
"1878052","0"
"1880929","0"
"1888503","0"
"1890542","0"
"1895185","0"
"1896715","0"
"1900179","1"
"1905216","0"
"1907111","5"
"1907590","0"
"1912785","1"
"1913068","0"
"1913244","2"
"1915535","0"
"1918542","0"
"1923408","1"
"1923435","1"
"1925104","1"
"1927246","0"
"1931871","0"
"1935348","0"
"1935479","8"
"1936862","2"
"1947608","0"
"1947967","1"
"1949987","0"
"1953995","0"
"1955612","0"
"1956506","1"
"1958962","0"
"1962823","0"
"1962852","5"
"1970195","0"
"1976022","0"
"1986261","1"
"1998176","0"
"1998297","1"
"1999842","1"
"2002728","1"
"2011407","3"
"2016190","3"
"2018487","0"
"2019199","0"
"2023549","0"
"2043018","0"
"2049363","1"
"2052251","2"
"2054687","1"
"2055314","1"
"2059421","0"
"2059617","5"
"2061822","0"
"2069392","0"
"2072241","0"
"2079366","0"
"2085741","0"
"2090765","1"
"2096444","0"
"2097214","0"
"2098681","0"
"2099003","0"
"2100433","0"
"2101151","3"
"2102148","0"
"2106680","11"
"2111845","1"
"2121047","0"
"2122080","2"
"2123975","0"
"2130162","0"
"2133597","1"
"2134405","0"
"2135864","1"
"2138574","1"
"2138686","1"
"2138940","1"
"2139517","0"
"2143182","0"
"2143653","0"
"2144218","0"
"2146315","1"
"2150801","0"
"2161050","2"
"2161945","0"
"2162797","0"
"2162826","1"
"2162830","0"
"2165546","1"
"2175892","0"
"2179235","0"
"2180206","3"
"2180354","1"
