id,tag
"8318","<java><security><jboss>"
"14617","<java><ftp><sftp><security>"
"16451","<java><.net><axis2><ws-security><wse>"
"17376","<php><http><authentication><cookies><cgi>"
"24723","<java><html><regex><xss>"
"29357","<java><security><desktop>"
"33745","<php><mysql><wordpress><lamp><mediawiki>"
"34638","<java><security><hibernate><jakarta-ee>"
"37343","<php><wordpress><lamp><mediawiki>"
"39564","<php><authentication><integration><mediawiki-extensions>"
"39916","<php><automation><.htpasswd>"
"49226","<java><cryptography>"
"49473","<java><cryptography><bouncycastle>"
"65494","<php><asp.net><linux><apache><openid>"
"76324","<php><openssl><gdata-api><google-calendar-api>"
"77686","<java><security><applet><signed-applet>"
"84641","<php><iis><com><adsi>"
"90517","<php><validation>"
"102788","<php><encryption>"
"103203","<java><security><encryption><https>"
"108838","<java><security><tomcat><war><servlets>"
"119926","<java><security><j-security-check>"
"120380","<java><security>"
"127459","<php><sudo><shell-exec><passwd>"
"127739","<php><json>"
"132384","<php><passwd><proc-open>"
"159282","<java><security><rmi>"
"166411","<java><security><jakarta-ee>"
"168610","<php><windows><authentication>"
"171519","<php><authentication><active-directory><ldap>"
"174131","<java><security><encryption><jks>"
"185211","<java><security>"
"186125","<php><ssl>"
"196845","<java><security><mobile>"
"205183","<java><web-services><axis><ws-security>"
"211099","<java><mysql><security><applet>"
"217511","<java><spring-security><captcha>"
"219944","<php><session>"
"219999","<php><database>"
"242669","<php><sharepoint><single-sign-on>"
"257015","<php><encryption><des>"
"276310","<php><symfony1><openid>"
"277044","<java><encryption><passwords><salt><bcrypt>"
"277100","<java><security><servlets><filesystems><io>"
"290545","<java><multithreading><java-native-interface><rmi><securitymanager>"
"295515","<php><hash>"
"295628","<java><security><random><cryptography>"
"297952","<php><curl><curl-multi><redirectwithcookies>"
"302357","<java><security><struts><owasp>"
"308659","<php><cakephp><session>"
"309615","<php><mysql><ssh>"
"313730","<java><performance><security><tomcat><jmx>"
"315132","<php><cookies>"
"318214","<php><cookies><pear>"
"321061","<php><cocoa><encryption><openssl><mcrypt>"
"321787","<java><encryption><cryptography><integer><bytearray>"
"323939","<php><html><ajax><web-services><authentication>"
"324726","<php><module><sandbox>"
"333812","<java><windows><security><operating-system>"
"347856","<php><validation><zend-framework><zend-form>"
"348090","<java><security><jsp><servlets><web-applications>"
"350177","<java><security><jsp><sql-injection><javascript-injection>"
"353815","<php><.htaccess>"
"359620","<java><web-services><spring><ws-security><spring-ws>"
"360520","<java><security><unit-testing><spring><spring-security>"
"362386","<php><html>"
"388749","<php><openid>"
"395375","<php><authentication><cookies>"
"398179","<java><sql-injection><findbugs>"
"398537","<php><mysql><flash><actionscript><database-connection>"
"401985","<php><session><login><cookies>"
"404027","<php><api><oauth><key>"
"407687","<php><zend-framework>"
"429352","<java><security><lamp><infrastructure>"
"435912","<java><security><applet>"
"442862","<java><mysql><security><reverse-engineering><decompiling>"
"442995","<java><security><activemq><stomp>"
"461886","<java><security><authentication><jakarta-ee>"
"475833","<php><model-view-controller><authentication><remember-me>"
"477144","<php><mysql><openid>"
"479535","<php><mysql><login><openid>"
