id,community_owned_date
"7260",""
"8451",""
"10635",""
"11762",""
"17670",""
"18448",""
"21965",""
"29346",""
"42115",""
"47262",""
"49211",""
"50684",""
"53824",""
"54991",""
"59893",""
"64469",""
"71077",""
"71146",""
"74443",""
"83553",""
"86458",""
"94809",""
"98074",""
"100919",""
"102382",""
"103177",""
"108518",""
"118599",""
"120116",""
"121493",""
"124674",""
"124885",""
"129544",""
"129629",""
"136219",""
"141399",""
"144605",""
"146973",""
"148879",""
"150737",""
"152419",""
"154430",""
"155400",""
"158800",""
"160373",""
"162031",""
"165808",""
"166617",""
"167252",""
"169222",""
"170689",""
"172951",""
"177363",""
"178578",""
"179425",""
"181581",""
"188134",""
"192134",""
"196177",""
"197388",""
"198071",""
"198625",""
"201153",""
"202011",""
"206438",""
"206793",""
"209242",""
"211169",""
"211941",""
"212510",""
"212763",""
"213568",""
"229596",""
"234234",""
"234872",""
"239463",""
"239979",""
"240224",""
"243646",""
"243995",""
"244019",""
"244152",""
"246822",""
"249540",""
"249567",""
"252882",""
"252974",""
"254980",""
"255171",""
"258889",""
"261785",""
"261873",""
"262756",""
"264889",""
"269101",""
"270010",""
"270625",""
"272112",""
"273452",""
"280923",""
"281068",""
"281843",""
"283726",""
"284500",""
"288732",""
"289601","2008-11-14 09:26:35"
"290548",""
"291744",""
"295538",""
"297498",""
"298363",""
"299793",""
"300582",""
"301024",""
"308756",""
"311677",""
"312621",""
"317652",""
"318039",""
"319508",""
"321128",""
"326818",""
"327654",""
"331468",""
"332477",""
"341956",""
"343488",""
"344774",""
"354068",""
"359342",""
"360259",""
"360838",""
"379276",""
"379319",""
"379445",""
"379941",""
"380336",""
"382353",""
"382383",""
"384725",""
"386982",""
"390853",""
"393118",""
"396324",""
"399155",""
"416771",""
"424517",""
"425688",""
"428478",""
"430386",""
"430599",""
"431013","2009-01-24 14:57:38"
"432570",""
"432753",""
"434404",""
"436760","2009-01-12 19:51:00"
"437864",""
"438142",""
"438704",""
"439253",""
"440200",""
"442658",""
"443411",""
"444248",""
"446981",""
"447785",""
"450380",""
"453404",""
"454368",""
"454771",""
"456837",""
"457307",""
"459182",""
"462160",""
"462264",""
"464478",""
"464580",""
"466482",""
"467150",""
"473173",""
"473687",""
"474259",""
"475421",""
"476701",""
"477863",""
"478498",""
"480358",""
"481098",""
"481160",""
"483197",""
"485103",""
"486000",""
"492954",""
"494782",""
"497428",""
"502001",""
"503220",""
"503967",""
"507124",""
"508608",""
"514307",""
"517062",""
"517628",""
"517635",""
"518635",""
"519781",""
"519872",""
"521220",""
"524676",""
"526711",""
"529485",""
"530330",""
"532070",""
"534215",""
"534664",""
"536352",""
"538708",""
"540161",""
"541219",""
"544517",""
"548462",""
"550210",""
"550667",""
"550742",""
"557979",""
"558308",""
"562350",""
"563037",""
"564137",""
"566011",""
"566179",""
"566570",""
"567303",""
"567858",""
"568970",""
"570042",""
"570605",""
"572656",""
"573079",""
"575157",""
"577048",""
"579035",""
"580817",""
"582556",""
"583955",""
"585320",""
"595002",""
"595165",""
"595873",""
"597880",""
"598949",""
"602625",""
"603271",""
"604210",""
"604290",""
"605498",""
"608120",""
"609127",""
"609553",""
"610013",""
"610080",""
"611092",""
"612015",""
"612178",""
"612957",""
"616161",""
"619921",""
"620134",""
"621189",""
"622900",""
"623159",""
"623815",""
"624898",""
"626303",""
"627353",""
"630566",""
"637090","2009-04-01 21:21:27"
"639034",""
"639125",""
"640116",""
"641810",""
"642515",""
"642834",""
"646395",""
"649141",""
"649149",""
"653304",""
"654957",""
"655042",""
"655137",""
"663440",""
"663768",""
"664673","2009-07-17 14:17:16"
"665386",""
"667412",""
"670615",""
"671512",""
"672506",""
"678873",""
"679974",""
"680206",""
"681583",""
"681991",""
"684662",""
"689170",""
"691085",""
"693974",""
"695802",""
"696307",""
"697065",""
"698245",""
"699264",""
"703272",""
"703450",""
"703757",""
"704420",""
"704798",""
"707072",""
"707785",""
"708210",""
"713064",""
"713644",""
"714308",""
"714574",""
"715113",""
"717570",""
"720710",""
"721472",""
"724257",""
"725367",""
"725387",""
"728108",""
"728143",""
"730206",""
"731146",""
"731528",""
"733971",""
"735001",""
"735193",""
"740584",""
"740812",""
"740837",""
"741663",""
"743076",""
"744530",""
"746377",""
"746816",""
"751759",""
"752108",""
"757001",""
"760166",""
"761889",""
"767408",""
"767978",""
"769268",""
"769634",""
"771535",""
"777607",""
"778990",""
"781312",""
"784848",""
"785016",""
"786093",""
"788459",""
"790592",""
"790619",""
"790676",""
"797445",""
"798266",""
"800463",""
"800685",""
"804155",""
"809602",""
"811988",""
"812105",""
"812894",""
"815740",""
"818704",""
"820289",""
"822969",""
"823821",""
