id,acceptedanswerid,answer_date
"29061","29083","2008-08-26 22:19:48"
"33829","33838","2008-08-29 02:18:20"
"43199","47149","2008-09-06 01:09:43"
"57384","57408","2008-09-11 19:29:23"
"70170","70186","2008-09-16 07:51:02"
"78869","78889","2008-09-17 01:19:21"
"84096","84419","2008-09-17 15:23:23"
"84680","86367","2008-09-17 18:54:15"
"97137","97187","2008-09-18 21:29:02"
"102425","102545","2008-09-19 14:59:39"
"112396","112409","2008-09-21 22:42:09"
"96945","113291","2008-09-22 05:21:41"
"116415","116520","2008-09-22 18:14:38"
"126798","126981","2008-09-24 13:01:58"
"137212","137288","2008-09-26 01:39:13"
"140113","140142","2008-09-26 15:14:45"
"143523","143544","2008-09-27 12:26:28"
"150167","150181","2008-09-29 19:12:01"
"161160","162776","2008-10-02 14:55:57"
"181341","185365","2008-10-08 23:35:58"
"178479","189399","2008-10-09 22:13:14"
"190376","190382","2008-10-10 07:14:19"
"190912","191075","2008-10-10 12:44:11"
"221149","223506","2008-10-21 21:06:36"
"244283","244451","2008-10-28 19:10:41"
"256899","256911","2008-11-02 14:21:03"
"295163","295396","2008-11-17 11:50:39"
"303028","303042","2008-11-19 19:26:17"
"304268","304350","2008-11-20 04:46:08"
"308609","308677","2008-11-21 13:00:00"
"311243","312001","2008-11-23 01:46:00"
"319634","320032","2008-11-26 08:09:22"
"320355","325454","2008-11-28 10:35:44"
"325637","328464","2008-11-30 05:05:48"
"320477","334798","2008-12-02 17:39:34"
"338578","338603","2008-12-03 20:36:56"
"339004","339075","2008-12-03 23:09:07"
"339531","339585","2008-12-04 04:16:40"
"340820","342610","2008-12-05 01:13:05"
"353010","354565","2008-12-09 23:01:23"
"363329","363379","2008-12-12 16:54:11"
"372268","373805","2008-12-17 06:33:17"
"318781","374357","2008-12-17 12:07:46"
"376561","376562","2008-12-18 00:41:17"
"390150","394193","2008-12-26 19:51:44"
"407990","408035","2009-01-02 21:06:57"
"411331","411362","2009-01-04 17:42:11"
"415953","415956","2009-01-06 09:47:52"
"430755","430761","2009-01-10 08:53:02"
"438508","438805","2009-01-13 12:35:14"
"440463","440493","2009-01-13 19:45:00"
"437375","443866","2009-01-14 17:12:52"
"377901","459330","2009-01-19 21:55:10"
"476640","477938","2009-01-25 17:09:39"
"480895","487979","2009-01-28 15:12:57"
"288289","492381","2009-01-29 16:32:52"
"496651","496707","2009-01-30 18:51:15"
"510846","511111","2009-02-04 12:18:08"
"530972","534456","2009-02-10 22:13:24"
"531096","535394","2009-02-11 04:08:51"
"552982","553193","2009-02-16 12:44:36"
"556670","557046","2009-02-17 14:27:26"
"567482","567662","2009-02-19 23:05:01"
"568227","568300","2009-02-20 04:45:16"
"570450","570460","2009-02-20 17:17:29"
"571081","571120","2009-02-20 20:30:34"
"543896","577618","2009-02-23 13:29:04"
"561938","587838","2009-02-25 21:04:10"
"612121","612151","2009-03-04 19:48:02"
"622732","622829","2009-03-08 00:56:12"
"628416","628451","2009-03-09 23:38:07"
"646224","646275","2009-03-14 17:10:54"
"637496","652931","2009-03-17 03:25:57"
"663397","663455","2009-03-19 18:32:46"
"587357","664213","2009-03-19 21:51:11"
"683885","683902","2009-03-25 23:15:51"
"684081","685036","2009-03-26 09:20:57"
"687787","687806","2009-03-26 22:30:15"
"691222","691507","2009-03-27 21:25:30"
"705728","706230","2009-04-01 16:00:27"
"706856","712012","2009-04-02 23:24:08"
"719747","719952","2009-04-06 00:34:41"
"733753","733804","2009-04-09 11:28:01"
"729203","734998","2009-04-09 16:38:01"
"636172","737323","2009-04-10 11:03:36"
"288500","738729","2009-04-10 20:08:07"
"729195","752976","2009-04-15 18:05:39"
"756133","756165","2009-04-16 13:39:07"
"785973","786588","2009-04-24 16:20:35"
"800172","800183","2009-04-28 22:54:56"
"805153","805203","2009-04-30 03:03:06"
"805329","805396","2009-04-30 05:03:11"
"806169","806213","2009-04-30 10:01:35"
"810493","810499","2009-05-01 07:22:08"
