Language,Category,post_count,up_count,comment_count,user_count,referenced_count,timespan_hours_for_closure,Popularity,Difficulty
java,Secure Development,8947,1419,31347,20848,6600,1321196.8299999998,1.0899422521892592,10.437062686926094
java,Access Control,2193,269,5687,4645,986,467014.0780555556,0.8766679116330531,9.785089719060082
java,Cryptography,1631,269,4779,3601,805,300261.12638888886,1.021841451936443,9.53220851497717
java,Network Security,629,42,1845,1366,513,79702.86444444445,0.7520524688413511,10.165880540974886
java,Software Vulnerabilities,100,3,194,178,85,9378.454722222223,0.46965721195131654,8.928430160945926
java,Security,13500,2002,43852,30638,8989,2177553.353611111,1.030158843135262,10.3634969538142
php,Access Control,8012,1118,27749,19007,3180,2762952.560555556,1.0466302863664212,11.699285343774829
php,Secure Development,7587,1632,33570,21748,3994,1520139.8341666667,1.3973124306395963,10.27012467944018
php,Software Vulnerabilities,1303,138,4597,3207,718,226128.04944444442,0.972463032655137,9.779013027607402
php,Network Security,1069,212,4776,3055,383,275095.5936111111,1.362990281904536,9.602039734548741
php,Data Security,1018,277,5442,2875,525,178183.6188888889,1.6015639103227863,9.500922188495812
php,Cryptography,851,179,4922,2713,281,332103.7366666667,1.5711533820753818,11.351688910672216
php,Security,19840,3556,81056,52605,9081,5294603.393333333,1.2475261196925722,11.05202571799631
javascript,Secure Development,10106,4566,42058,29424,7091,1822250.0650000002,1.7624472117265568,11.248081021763465
javascript,Access Control,3041,863,9403,7750,1380,505306.76083333336,1.307705322299634,8.683617347081988
javascript,Software Vulnerabilities,1302,750,3061,2954,735,87339.4713888889,1.4537867637231656,6.153723305642777
javascript,Network Security,1103,567,4282,3148,519,341897.1541666667,1.7858540762423392,12.076912213096778
javascript,Cryptography,694,185,1868,1577,328,101945.31944444444,1.1769751516247813,8.33222707182882
javascript,Security,16246,6931,60672,44853,10053,2858738.770833334,1.6384962555466842,10.43490809120936
c#,Secure Development,5047,734,13559,11157,2626,848120.2236111112,0.9523364636288244,9.350670762355868
c#,Access Control,2983,521,14331,8493,668,617219.6363888889,1.336816696357533,6.8069858067984725
c#,Cryptography,1267,373,6501,3593,548,624883.7386111111,1.6240726652211726,14.605393959262337
c#,Network Security,1188,258,5348,3183,424,601968.921388889,1.378476839654265,13.447870634443483
c#,Data Security,533,99,1945,1263,277,183051.48194444444,1.1710951289532754,13.359779802290346
