postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
28093,https://api.github.com/repos/odoo/odoo/issues/28093,issue,imp auth ldap updat login date,impact version check latest step reproduc configur odoo instanc configur ldap auth login current behavior updat ldap login expect behavior updat ldap login,,2,8,ldap|login,30,0.26666666666666666,0.7244181036949158
428,https://api.github.com/repos/star7th/showdoc/issues/428,issue,ldap,ldap ldap sn givennam user name user name id sn givennam,ldap,2,6,ldap|user name,14,0.42857142857142855,0.7134503722190857
9324,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/9324,issue,resolv ldap user found incorrect password,descript authent rocket chat user work ldap connect work fine authent user seem result alway user found incorrect password wrong configur server setup inform version rocket chat server oper system cento deploy method snap docker tar etc tgz number run instanc db replicaset oplog node version n step reproduc allow match usernam modifi usernam rocket chat sync user disabl user search group valid disabl log error inform debug relev log,resolv add ldap authent second time system contain alreadi user true merg exist user,6,12,ldap|password|scripting|authentication|username|validate,91,0.13186813186813187,0.5905940532684326
17030,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/17030,issue,ldap login work non exist user role group map enabl,descript ldap login work non exist user role group map enabl step reproduc configur role group map login ldap user never log rocket chat error expect behavior success login actual behavior wrong password messag user log server setup inform version rocket chat server oper system cento deploy method rocketchat ctl number run instanc db replicaset oplog nodej version mongodb version client setup inform desktop app browser version oper system addit context activ saml ldap auth rc instanc tri these test case login saml exist user ok login saml inexist user ok login ldap exist user ok login ldap inexist user nok relev log ldap log,error fix,5,20,ldap|login|scripting|password|saml,118,0.1694915254237288,0.5860337615013123
3584,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/3584,issue,ldap connect openldap,version hello test version ldap connect work fine ldap server return user well user still fail login debug error ldaphandl info init login guru ldap connect info init setup ldap connect info connect ldap localhost ldap connect debug connectionopt url ldap localhost timeout connecttimeout idletimeout reconnect fals ldap connect info ldap connect ldap bind info bind admin user cn root dc bazaari dc com dc au ldap search info search user guru ldap search debug searchopt filter objectclass inetorgperson uid guru scope sub ldap search debug domain base ou activ dc bazaari dc com dc au ldap search info search result count ldap search debug search result snip user inform receiv ldap ldaphandl info search return record guru loginhandl js ldaphandl error error user found ldap connect info disconect ldaphandl info fallback default account systen usernam guru search result suggest user found still say user found,ok remov nd account anoth site valid user login fine,4,29,ldap|login|username|validate,160,0.18125,0.5764039754867554
7694,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/7694,issue,ldap user login,descript issu rc instanc restor mongodb file backup system run fine lot user login rc throw error aug rocketchat rocketchat ldaphandl info init ldap login foo baraug rocketchat rocketchat ldap connect info init setup aug rocketchat rocketchat ldap connect info connect ldap aug rocketchat rocketchat ldap connect info ldap connect aug rocketchat rocketchat ldap bind info bind admin user adminaug rocketchat rocketchat ldap search info search user foo baraug rocketchat rocketchat ldap search info search result count aug rocketchat rocketchat ldap auth info authent cn foo bar ou user ou ou dach dc bla dc loc aug rocketchat rocketchat ldap auth info authent cn foo bar ou user ou ou dach dc bla dc loc aug rocketchat rocketchat ldap connect info disconect aug rocketchat rocketchat ldaphandl info queri user aug rocketchat rocketchat ldaphandl info log user aug rocketchat rocketchat ldapsync info sync user data aug rocketchat rocketchat ldapsync info sync user avatar ldap test connect sync seem posit user system see db admin interfac thought session problem old session restart system help server setup inform version rocket chat server oper system cento deploy method snap docker tar etc download tar follow docu number run instanc one system db replicaset oplog yes node version step reproduc system crash db empti rebuild db file backup lot user login expect behavior work actual behavior relev log ps upgrad latest version see fix problem systemcrash reason duplic document rocketchat cron histroy see,,4,26,ldap|login|scripting|authentication,242,0.10743801652892562,0.551673412322998
15360,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/15360,issue,user password shown cleartext log ad webdav server,descript user password shown cleartext log ad webdav server step reproduc enabl log level error inform debug user add webdav server view log expect behavior user password shown cleartext actual behavior user password ist shown cleartext server setup inform version rocket chat server oper system cento deploy method docker number run instanc nodej version v mongodb version relev log meteor method addwebdavaccount userid vqji q h bvzhht argument name webdav serverurl test fqdn domain usernam usernam pass password,,3,8,password|scripting|username,87,0.09195402298850575,0.5499332547187805
12394,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/12394,issue,ldap updat fallback descript inform password sync,descript set ldap login fallback set descript say login ldap success try login default local account system help ldap reason expect behavior case user local account user abl login case ldap actual behavior enabl fallback ldap password copi local db matter solut chang descript enabl fallback ldap user store local user db includ encrypt password login ldap success try login default local account system help ldap reason disabl featur remov store password addit issu disabl featur remov store password probabl discuss separ sinc secur issu case encrypt break featur enabl accid,possib login disabl ad ldap user login fallback activ huge risk servic disabl user ad allow login,6,31,ldap|scripting|password|login|encrypt|security,116,0.2672413793103448,0.5434913039207458
95,https://api.github.com/repos/easy-mock/easy-mock/issues/95,issue,featur request ldap login,node js mongodb version nodemongoeasi mockwhat expect ldap login confluenc gitlab fork ldap ldap,pr,2,6,ldap|login,20,0.3,0.5404570698738098
12656,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/12656,issue,cas login error chang user name,descript use cas authent chang user name rocketchat prevent user log step reproduc chang user name cas server rocketchat user tri log via cas expect behaviour user get authent new user name actual behaviour user login fail server setup inform version rocket chat server oper system linux deploy method repo number run instanc db replicaset oplog nodej version v mongodb version,,4,9,login|user name|scripting|authentication,68,0.1323529411764706,0.5340822339057922
30391,https://api.github.com/repos/odoo/odoo/issues/30391,pr,imp auth signup reset password set enabl default,descript issu featur pr address reset password set enabl default task behavior pr reset password set enabl default gener set desir behavior pr merg reset password set enabl default gener set confirm sign cla read pr guidelin www odoo com submit pr,robodoo r merg thank,3,7,signing|password|scripting,55,0.12727272727272726,0.5224117040634155
4180,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/4180,issue,creat toggl disabl login ldap account authent,rocket chat version deni login ldap account fail authent possibl creat toggl enabl disabl local authent thank advanc,,3,7,login|ldap|authentication,26,0.2692307692307692,0.5160717964172363
331,https://api.github.com/repos/jumpserver/jumpserver/issues/331,pr,add ldap support,ldap,ssh ldap ldap ldap django ldap auth py,2,7,ldap|ssh,13,0.5384615384615384,0.5148990750312805
14608,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/14608,issue,ldap usernam addit contain number,descript sync ldap attribut cn usernam rocket chat sinc upgrad everi usernam number e g bcd convert bcd step reproduc login ldap user bcd click profil usernam show bcd expect behavior usernam still bcd actual behavior usernam convert workaround stop set utf name slugifi fals server setup inform version rocket chat server oper system debian stretch deploy method rocket chat ansibl number run instanc db replicaset oplog activ nodej version v mongodb version addit context similar user still login think happen default behaviour add paramet separatenumb fals done relev log set utf name slugifi fals log ldaphandl info init ldap login bcd ldap connect info init setup ldap connect info connect ldap authserv ldap connect info ldap connect ldap bind info bind userdn cn bindus ldap search info search user bcd ldap search info search result count ldap auth info authent cn bcd ou myou ldap search info search result count ldap auth info authent cn bcd ou myou ldaphandl info queri user ldaphandl info log user ldapsync info sync user data ldapsync info sync user usernam bcd bcd,upgrad issu caus still caus lot confus among user first occur admin fix wrong usernam hand realiz next nightli ldap sync mess chanc pend pull request get review soon fix roll one next releas,5,35,ldap|username|scripting|login|authentication,219,0.1598173515981735,0.5115087628364563
1943,https://api.github.com/repos/jumpserver/jumpserver/issues/1943,issue,ldap,ldap ok version gplv jms start web ldap jms ldap uid backend warn caught ldaperror authent test ldaperror file directori issu,ldap ou ldap ldap ldap x x x x,2,11,ldap|authentication,32,0.34375,0.4956624507904053
14644,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/14644,pr,fix ldap usernam addit contain number,close,,2,2,ldap|username,8,0.25,0.4929802715778351
7642,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/7642,issue,api login work ldap user login fallback paramet fals,descript configur ldap auth login fallback paramet fals log valid user normal valid user pass valid user pass perform api authent chang login fallback paramet true log web interfac user store password local databas login fallback paramet fals mater authent work login pass api ask ldap user tri ldap activ server setup inform version rocket chat server oper system ubuntu deploy method snap docker tar etc tar number run instanc db replicaset oplog node version,reproduc instanc think issu sync user button import ldap user tri log user api see problem cannot login ldap login via rest updat ticket,6,21,login|ldap|scripting|validate|authentication|password,109,0.1926605504587156,0.491758793592453
6926,https://api.github.com/repos/odoo/odoo/issues/6926,pr,allow unicod ldap binddn ldap auth,fix bug unicod ldap binddn configur break login,,2,4,ldap|login,15,0.26666666666666666,0.48823514580726624
8929,https://api.github.com/repos/RocketChat/Rocket.Chat/issues/8929,issue,set search page size ldap option make ldap login fail,descript use ldap authent enabl use page size caus ldap base login fail server setup inform version rocket chat server oper system linux deploy method snap docker tar etc docker imag number run instanc db replicaset oplog disabl node version v expect behavior ldap search succeed user search succeed page disabl,problem upgrad latest version login fail error messag mayb code ad affect problem yes us use opendj ldap server problem set login fallback yes seem help version affect ldap server handl pagin chang pages paramet made work,4,13,ldap|login|scripting|authentication,99,0.13131313131313133,0.48572850227355957
676,https://api.github.com/repos/jumpserver/jumpserver/issues/676,issue,jumpser ldap,jumpserv set py import ldap django auth ldap config import ldapsearch groupofnamestyp auth user model juser user ldap auth auth ldap server uri ldap xxxxxx auth ldap bind dn cn xxxx cn manag servic account dc xxx dc com auth ldap bind password ou unicod ou xxxx dc xxxx dc com utf auth ldap user search ldapsearch ou ldap scope subtre objectclass person samaccountnam user auth ldap user attr map last name sn name sn email mail first name telephonenumb auth ldap alway updat user true authent backend django auth ldap backend ldapbackend,fix fix,3,18,ldap|password|authentication,98,0.1836734693877551,0.4832897484302521
