id,acceptedanswerid,owneruserid
"39135","",""
"72304","",""
"102778","",""
"123902","",""
"153220","",""
"163113","",""
"182133","",""
"183830","",""
"232584","",""
"232839","",""
"267738","",""
"271518","",""
"300334","",""
"346225","",""
"347056","",""
"367530","",""
"368792","",""
"376551","",""
"385907","",""
"427046","",""
"427821","",""
"411037","",""
"443151","",""
"453925","",""
"472739","",""
"485023","",""
"494860","",""
"517527","",""
"520255","",""
"537596","",""
"547219","",""
"565531","",""
"580686","",""
"581655","",""
"592403","",""
"610896","",""
"626043","",""
"687291","",""
"696793","",""
"723129","",""
"752890","",""
"754205","",""
"759722","",""
"759800","",""
"762459","",""
"804023","",""
"820261","",""
"825638","",""
"829522","",""
"836007","",""
"836281","",""
"839213","",""
"851093","",""
"862571","",""
"865460","",""
"868776","",""
"869255","",""
"874903","",""
"888346","",""
"900763","",""
"901251","",""
"909979","",""
"925377","",""
"937412","",""
"944679","",""
"948933","",""
"956657","",""
"964547","",""
"984644","",""
"997304","",""
"1000347","",""
"1001179","",""
"1003365","",""
"1009766","",""
"1016372","",""
"1028388","",""
"1045895","",""
"1061171","",""
"1069142","",""
"1115739","",""
"1122324","",""
"1130904","",""
"1089600","",""
"1093202","",""
"1093817","",""
"1107007","",""
"1175074","",""
"1187949","",""
"1199802","",""
"1206494","",""
"1211333","",""
"1225633","",""
"1236481","",""
"1238763","",""
"1227478","",""
"1233206","",""
"1265488","",""
"1255083","",""
"1277378","",""
"1283982","",""
"1291978","",""
"1354803","",""
"1362115","",""
"1287450","",""
"1381965","",""
"1396375","",""
"1399505","",""
"1417271","",""
"1423741","",""
"1441548","",""
"1476963","",""
"1488404","",""
"1492043","",""
"1503241","",""
"1524107","",""
"1531740","",""
"1554970","",""
"1555476","",""
"1577081","",""
"1569736","",""
"1599443","",""
"1612485","",""
"1613212","",""
"1622492","",""
"1629958","",""
"1624137","",""
"1645747","",""
"1666028","",""
"1677465","",""
"1715296","",""
"1731966","",""
"1754144","",""
"1762453","",""
"1764064","",""
"1698864","",""
"1821178","",""
"1821545","",""
"1814048","",""
"1816141","",""
"1832640","",""
"1856552","",""
"1900179","",""
"1905216","",""
"1907590","",""
"1913068","",""
"1918542","",""
"1923408","",""
"1925104","",""
"1927246","",""
"1935348","",""
"1936862","",""
"1956506","",""
"1962852","",""
"1970195","",""
"1976022","",""
"1986261","",""
"1998176","",""
"2016190","",""
"2043018","",""
"2049363","",""
"2059617","",""
"2061822","",""
"2069392","",""
"1999842","",""
"2085741","",""
"2101151","",""
"2102148","",""
"2106680","",""
"2121047","",""
"2099003","",""
"2135864","",""
"2138686","",""
"2143182","",""
"2143653","",""
"2162797","",""
"2162826","",""
"2180206","",""
"2175892","",""
"2186249","",""
"2191078","",""
"2193172","",""
"2195553","",""
"2224030","",""
"2224873","",""
"2225243","",""
"2229646","",""
"2230981","",""
"2232618","",""
"2240931","",""
"2241068","",""
"2264038","",""
"2266537","",""
"2283577","",""
"2287952","",""
"2289708","",""
"2291942","",""
"2314809","",""
"2315066","",""
"2335896","",""
"2336497","",""
"2342207","",""
"2361346","",""
"2362581","",""
"2367274","",""
"2378986","",""
"2383296","",""
"2383322","",""
"2375903","",""
"2403197","",""
"2413199","",""
"2419412","",""
"2419956","",""
"2432418","",""
"2434905","",""
"2435536","",""
"2446292","",""
"2457795","",""
"2475626","",""
"2501237","",""
"2514439","",""
"2536210","",""
"2534127","",""
"2551807","",""
"2555029","",""
"2558368","",""
"2568335","",""
"2568841","",""
"2570847","",""
"2577116","",""
"2578482","",""
"2579431","",""
"2581694","",""
"2589488","",""
"2635639","",""
"2635881","",""
"2639167","",""
"2644168","",""
"2645298","",""
"2651913","",""
"2652092","",""
"2654124","",""
"2661659","",""
"2671295","",""
"2671306","",""
"2678475","",""
"2681788","",""
"2687864","",""
"2697310","",""
"2724441","",""
"2726141","",""
"2732808","",""
"2733447","",""
"2738677","",""
"2746491","",""
"2759911","",""
"2760408","",""
"2762080","",""
"2772595","",""
"2778256","",""
"2788210","",""
"2790220","",""
"2793999","",""
"2773350","",""
"2773892","",""
"2811420","",""
"2813377","",""
"2821736","",""
"2828015","",""
"2852474","",""
"2869404","",""
"2869771","",""
"2871650","",""
"2876129","",""
"2880968","",""
"2882474","",""
"2898148","",""
"2916075","",""
"2926897","",""
"2928805","",""
"2945232","",""
"2949935","",""
"2950371","",""
"2956959","",""
"2965551","",""
"2980118","",""
"2985474","",""
"2997694","",""
"3004511","",""
"3024094","",""
"3032832","",""
"3040694","",""
"3042694","",""
"3054106","",""
"3063449","",""
"3068998","",""
"3071760","",""
"3090258","",""
"3112663","",""
"3118799","",""
"3134915","",""
"3151407","",""
"3155237","",""
"3155826","",""
"3158334","",""
"3159802","",""
"3165537","",""
"3172123","",""
"3177198","",""
"3181535","",""
"3185322","",""
"3190552","",""
"3192238","",""
"3205469","",""
"3225640","",""
"3231354","",""
"3255920","",""
"3260960","",""
"3283425","",""
"3289924","",""
"3290881","",""
"3291143","",""
"3312125","",""
"3303122","",""
"3325029","",""
"3325535","",""
"3325657","",""
"3326679","",""
"3333084","",""
"3358391","",""
"3369480","",""
"3342484","",""
"3392040","",""
"3392216","",""
"3393528","",""
"3401296","",""
"3417659","",""
"3417849","",""
"3444898","",""
"3447365","",""
"3453904","",""
"3465561","",""
"3476104","",""
"3479067","",""
"3494325","",""
"3500883","",""
"3505349","",""
"3522342","",""
"3522999","",""
"3545992","",""
"3546074","",""
"3549681","",""
"3561087","",""
"3561445","",""
"3566082","",""
"3581665","",""
"3597242","",""
"3615962","",""
"3620481","",""
"3622788","",""
"3651154","",""
"3655012","",""
"3655263","",""
"3658834","",""
"3674108","",""
"3674849","",""
"3685548","",""
"3696216","",""
"3701999","",""
"3702379","",""
"3705065","",""
"3705208","",""
"3727468","",""
"3731685","",""
"3744499","",""
"3750274","",""
"3752075","",""
"3756257","",""
"3761737","",""
"3772961","",""
"3775483","",""
"3797268","",""
"3811629","",""
"3811711","",""
"3817330","",""
"3818886","",""
"3836135","",""
"3861978","",""
"3829282","",""
"3871636","",""
"3872154","",""
"3879565","",""
"3883980","",""
"3895467","",""
"3910735","",""
"3918108","",""
"3933136","",""
"3933145","",""
"3941351","",""
"3955974","",""
"3960802","",""
"3970552","",""
"3972746","",""
"3976713","",""
"3980393","",""
