answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
,2016-02-13 21:09:49.977 UTC,22,35385357,creat sql server databas file folder help c#? need access databas applic,0.09090909090909091,2,c# database passwords sql-server,creat dynam sql server password c,1,password,0.5957869291305542
username=usernam connect databas password=it password insid connect string try remov integr secur,2017-07-25 16:23:22.857 UTC,47,45308781,local databas certif protect secur databas try use normal connect string connect fail due databas secur connect databas c# applic provid certif password well?our connect string,0.2765957446808511,13,c# entity-framework sql-server,connect string databas tde certif provid,6,certificate|protect|security|password|username|integrity,0.5894328355789185
,2015-09-11 06:57:10.553 UTC,26,32517393,login form two textbox usernam password.how store data textbox db use asp.net.pleas provid anyon code,0.23076923076923078,6,c# mysql,store usernam password secur mysql db use c# asp.net,4,username|password|security|login,0.5723859667778015
,2019-07-09 12:37:21.243 UTC,24,56952766,want hide server password make connect code .net password keepass know connect code server one help thank !,0.16666666666666666,4,.net c# keepass passwords,password keepass,1,password,0.5598625540733337
sql server hash password hashbyt function.for examp,2013-11-17 14:17:55.4 UTC,49,20031723,got question current databas make add new user program store access databas password automat convert someth d4567890123iwo insid password user know password databas user id usernam password1 fuhan password + md5 that? thank,0.2857142857142857,14,c# hash ms-access,store password databas hash md5 c,4,hash|password|md5|username,0.5479832887649536
store plain-text password databas hash function password string store databas unread anoth user anyth string even know must still make sure user cannot chang password field otherwis even help copi hash password check question googl store password databas lot inform around tri salt hash save password? encryption? look password encrypt never store password plain-text databas encrypt even better hash .net librari hash password bcrypt.net poster mention never store password databas plain text encrypt hash first login process hash provid password compar hash databas code hash,2014-03-06 13:16:25.113 UTC,121,22225726,password let say store databas password field databas show password want user open databas password field longer show someth anoth user access user know password help? thank answer much appreci,0.2975206611570248,36,c# encryption passwords,encrypt password databas,6,encrypt|crypt|password|hash|salt|login,0.5460638999938965
tri previou step work method work follow think mysql mysqlclient support thing connect string specif databas need ssh client connect first ssh server find rout sql connect tunnel http://www.howtogeek.com/howto/ubuntu/access-your-mysql-server-remotely-over-ssh/ think microsoft .net librari handl ssh connect open sourc project code plex help http://sshnet.codeplex.com/ specifi ssh proxi ssh credenti connect string establish ssh connect first standard connect string question establish ssh connect c# librari sharpssh final code,2012-05-29 21:12:54.487 UTC,101,10806799,connect mysql databas trough c# connect string put ssh string form need someth ssh hostnam ssh usernam ssh password mysql hostnam mysql usernam mysql password port,0.2079207920792079,21,.net c# connection-string database mysql,connect mysql c# ssh,5,ssh|username|password|tunnelling|credential,0.5393482446670532
look code look pass textbox password paramet later check suggest textbox correct code go assum textbox creat usernam paramet textbox id usernam password need pass textbox valu username.text password.text abl login wrong need read reader,2018-08-31 10:38:11.07 UTC,87,52113645,want ask implement login function window form provid two field usernam password databas tabl call 2 field - usernam password want password databas compar one enter textbox field password want open /show/ new form howev alway block code ask,0.1839080459770115,16,c# login mysql passwords winforms,log-in c# window form get data mysql server/databas,3,login|password|username,0.5381277203559875
asp.net form authent log databas credenti save databas connect string inform local file server either store connect string web.config file question ask secur store connect string machine.config vs store web.config,2011-11-03 19:00:57.753 UTC,51,8000426,secur creat asp.net 3.5/4.0 login page connect sql databas,0.13725490196078433,7,asp.net c# mysql sql vb.net,secur login asp.net 3.5/4.0 page sql databas,4,security|login|authentication|credential,0.530612051486969
read valu chang code app.config add button connect 2 textbox usernam password button code use raw ado.net connect string builder presum mysqlconnectionstringbuild case creat new instanc connect string config file appropri properti result connectionstr properti store password sensit data config file use protect configur encrypt,2014-02-15 10:29:41.213 UTC,94,21796288,use c# winform applic use mysql back-end databas use app.config file applic read connect string connect databas follow provid usernam password app.config user applic enter usernam password? abl protect sensit data inform ok read app.config databas name server etc ahm,0.1276595744680851,12,c# connection mysql,dynam provid usernam password connect string,4,username|password|protect|encrypt,0.5064252018928528
ok want round corner text box free krypton toolkit textbox compon support textbox border round need properti,2011-07-18 08:06:04.617 UTC,70,6730132,2 text box usernam &amp password got class roundedcornertextbox http://www.codeproject.com/kb/edit/roundedcornertextbox.aspx work well usernam textbox password textbox show actual password instead * - password char textbox handl situat roundedcornertextbox class ? text * * * mani size text drawstr retriev pswdtxt.text data receiv * actual text,0.11428571428571428,8,c# passwords textbox,border custom textbox password type,2,password|username,0.49863937497138977
,2014-06-24 15:37:06.28 UTC,26,24390818,set mysql connect c# applic wonder code offer kind secur connect string hacks? want expos connect credenti much vulner thank,0.19230769230769232,5,c# mysql,protect mysql connect string,5,protect|security|hack|credential|vulnerability,0.49822917580604553
,2017-04-10 15:30:33.323 UTC,42,43327280,usernam password test hardcod usernam password databas password encrypt db appar look password alway null correct string password xml save db password then? thank model view one textfield fill usernam password hardcod action method see,0.30952380952380953,13,asp.net-mvc authentication c#,login data hardcod code,5,authentication|login|username|password|encrypt,0.4845866858959198
secur obscur work furthermor store hash work hash decrypt use comparison look inform safe connect mysql databas c# creat new dll file store credenti chang compil new version dll,2017-01-30 14:04:19.993 UTC,74,41937822,know ask mani time find answer look c# applic connect mysql databas current usernam password databas name store plain text .cnf file insecur possibl store databas password hash config pass instead plain string? least bit secur thank,0.20270270270270271,15,c# database mysql security,store mysql password hash,8,security|password|hash|username|insecure|crypt|safe|credential,0.48358097672462463
cant send string decrypt decryptbypassphras function expect varbinari paramet small exampl that gener work password check done follow princip password -> encrypt -> save user enter password reencrypt compar new encrypt old got right password enter stop peopl find peopl password keep system secur often brute forc password crack need thing unencrypt - point store encrypt first place,2018-02-14 08:12:29.41 UTC,91,48782442,convert hash password text string sql server 2008? want know password user store sql server hash password convert hash password normal text,0.27472527472527475,25,c# code-first sql-server,convert hash password text string sql server 2008,7,hash|password|crypt|bypass|encrypt|security|crack,0.4798019230365753
solut ad checkbox name chkpwd checkedchang event ad code show plain text checkbox check properti true,2013-10-22 11:47:45.73 UTC,49,19517004,textbox password field want add checkbox toggl password plain text follow code simpli hide show plain text type textbox field bodi help,0.08163265306122448,4,c# checkbox passwords textbox winforms,show plain text password textbox c,1,password,0.47861987352371216
realli store password plain text hash password store hash want check password correct hash password user type compar hash store user sound need help get valu databas current user put someth ought pleas note said realli retriev hash password actual password plain text first password hash applic thu password field databas hold hash valu assum accomplish goal consid string usernam -> hash -> write queri check whether hash valu user password hash valu store databas consid string password string newpassword code -> hash -> check whether hash valu consid string password string newpassword -> check whether null length 0 perform task follow order 1 -> 3 -> 2 hope help,2011-06-29 01:22:21.487 UTC,194,6514823,simpl c# window form act login form chang password user click chang password form load text box current password new pass confirm new pass one save button store usernam label current password check valid databas store tabl creat microsoft sql server 2008 code follow far execut code password chang want check valid user type wrong password current password newpassword confirm password user click first save bottom blank password store databas rather give messag pleas type password done,0.2268041237113402,44,c# passwords winforms,valid chang user password,5,password|validate|login|username|hash,0.47667577862739563
