answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
open file write close get empti,2011-09-22 12:42:00.74 UTC,44,7514874,file network directori file previous copi want oper file.but window xp file secur protect / block sorri italian want programmat remov secur protect c# thank advance!,0.18181818181818182,8,.net c# copy-protection security,remov programmat secur protect copi file network directori,2,protect|security,0.7543275952339172
,2017-05-23 07:59:18.57 UTC,45,44129045,hello stackoverflow commun develop program c# creat directori file insid directori program run open file program write text user close program file close possibl prevent user access folder ? solut must avoid program run write file ideas?thank,0.022222222222222223,1,c# security windows,prevent user access folder creat,1,security,0.6085430383682251
imagin limit isol storag unless download save isol storag app start download .xap file start sl app use wcf plug-in mayb work instead,2010-01-28 16:54:22.673 UTC,88,2156279,wpf applic load xaml file xamlread find current directori read .xaml file get absolut path silverlight getdirectoryname.. method give methodaccessexcept read .xaml resourc dictionari file locat rel .xap file silverlight? imagin directori .xap file place call layout .xaml file read silverlight command read .txt file rel uri .xap file happen place,0.011363636363636364,1,c# code-access-security isolatedstorage silverlight xamlreader,access rel place text file folder silverlight .xap file,1,security,0.5658519864082336
filesystem flash drive have? guess fat32 rather ntf fat32 concept per-fil acl far know concept acl whatsoev see articl http://technet.microsoft.com/en-us/library/cc783530ws.10.aspx fat fat32 volum permiss share folder file folder within share folder moreov share permiss fat fat32 volum restrict network access access user work directli comput option open file exclus access mode prevent other chang read see question stolen vitaliy comment lock file code accept answer,2011-10-31 10:18:35.067 UTC,109,7952331,hi work c# project try lock file open copi even delet use code open file open delet anyth wrong code ? code work perfectli anywher flash drive block edit copi file comput flash drive applic useless,0.027522935779816515,3,access-control c# security,c# edit file access control,3,access-control|security|access control,0.5358084440231323
,2018-05-16 22:09:13.19 UTC,103,50380602,encrypt file c# gave extent .crypt file extent .crypt associ program doubl click file password request dialog program enter correct password program decrypt file write unencrypt disk without .crypt extent run use file delet unencrypt file file alter program reencrypt file first u easili file recoveri program unauthor access unencrypt file that dont want write unencrypt file disk program decrypt possibl open encrypt file without ever write disk? save unencrypt file ram/memori open there? dont want write whole file system encrypt file stay ntf ext4 think need chang code point,0.18446601941747573,19,c# encryption file memory ram,c# open encrypt file without write file disk,4,encrypt|crypt|password|authorise,0.5321374535560608
write permit allow modifi file delet modifi creat ad write properti mutual mean delet msdn link,2008-12-18 21:18:53.74 UTC,38,379319,write code check permiss write delet certain directori first fairli easi whit permiss delet given directori,0.02631578947368421,1,.net c# security,permiss delet directori,1,security,0.5287137627601624
ad everyon user full permiss product folder common applic path allow delet directli drive,2016-07-04 12:40:24.15 UTC,52,38185012,problem moment need program abl write network drive certain file folder permiss don’t allow current user write edit delet directli drive keep mess directori still need permiss app around,0.019230769230769232,1,c# file-permissions permissions security,file folder permiss c# applic,1,security,0.5081073641777039
,2019-05-28 06:51:05.243 UTC,58,56336500,folder permiss seem show root folder sub-directori root folder test app root folder display folder permiss howev display sub-directori permiss root folder well want show sub-directori instead search mani forum find solut code load directori get folder permiss sub directori follow code give exampl load directori permiss try load sub-directori follow achiev,0.017241379310344827,1,c# directory-security,load folder permiss sub-directori,1,security,0.5008640885353088
accord document filestream constructor use open file read/writ overload specifi fileaccess.read constructor given read/writ access file open share read access well read file anyth open gener access probabl want open read-onli streamread automat cannot gener checksum without read entir file gener readonli file open file folder permiss prevent given user open file open file even readonli possibl gener checksum without open file sinc read file without open pass open read-onli gener checksum use sha512 md5,2011-01-05 00:03:24.477 UTC,90,4599699,calcul checksum file readonly? exampl seen use algorithm,0.06666666666666667,6,c# cryptography,gener checksum without open file,2,crypt|checksum,0.4920618534088135
think best bet make hidden folder use,2013-12-03 02:17:50.633 UTC,26,20341644,tri creat temporari folder folder uneras file insid use c# wpf,0.07692307692307693,2,c# security temporary wpf,creat folder secur c,1,security,0.4876931309700012
@canton7 thanks! extrem help okay much trial error got solut file readonli deni delet work deni delet + writeattribut - file delet file explor without ask privileg unlock file first add back privilig remov deni rule ad add flag allow one work remov readonli flag,2019-10-10 12:14:16,132,58322669,program gener file file protect user accident remov it.so need protect sinc file protect applic close filestream.lock suitabl solut task tri deni filesystemrights.delet file prevent delet chang user open file properti add back writeattribut permiss delet file afterward fine problem file delet applic result unauthorizedaccessexcept cannot undo done.which strang file explor absolut possibl question - grant delet permiss again- best protect file unintent delet file alreadi %appdata% sinc folder user delet absolut mandatori file delet accident,0.05303030303030303,7,.net c# file-security,c# .net filesystemright deni delet permiss add later,4,security|protect|authorise|privilege,0.4816972613334656
first folder directoryinfo instanc directorysecur class use getaccesscontrol method abl call getaccessrul addaccessrul hope start rather write whole thing app run tool accesschk paramet appli permiss target folder base info pars output accesschk,2010-12-01 10:32:10.817 UTC,65,4323390,need creat small c# window app copi secur permiss one folder anoth includ copi group permiss best approach challenge? yosief keset,0.046153846153846156,3,c# copy permissions security winforms,copi permiss one window folder anoth,1,security,0.4804343581199646
