answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
rijndael implement yet port .net core aes subset rijndael use packag target note add packag depend tfm exist core librari full framework alreadi look system.secur need add assembl refer dll check msdn,2016-03-10 09:46:56.623 UTC,59,35912849,pleas help me.wher find rijndael secur cryptographi .net core? depend must includ class librari packag project,0.15254237288135594,9,.net asp.net-core c# dnx,rijndael class librari packag avail .net core,5,rijndael|availability|security|crypt|aes,0.6148484945297241
list componentspac commerci oiosaml open sourc itfoxtec open sourc kentor open sourc owin.security.saml open sourc,2016-11-19 03:44:41.827 UTC,40,40689010,inbuilt .net librari microsoft ship within .net framework build sp-initi authent yes pleas let know refer,0.175,7,.net c# saml single-sign-on,support saml within .net framework,4,saml|single-sign-on|authentication|security,0.577217161655426
follow .net code work desktop implementation.first add refer portable.desktop portable.security.cryptography.protecteddata doc littl lack call faq share type pclcontrib platform-specif projects? current type pclcontrib look feel platform-specif counterpart runtim compil see complet differ type idea make work featur look short term turn gener wrapper cryptographi algorithm caus problem pcl contrib contain class call symmetricalgorithm wrapper real symmetricalgorithm make wrapper class non-gener work,2012-10-02 10:04:39.513 UTC,127,12688296,want cryptographi portabl class librari contrib project codeplex found document want creat wrapper class method insid want wrapper class exist portabl class librari referenc project correct? want wrapper insid .net window phone metro project project refer wrapper project correspond portabl project i.e correct? conflict namespac error try wrapper class howev error wrapper class type exist,0.05511811023622047,7,.net c# cryptography portable-class-library,portabl class librari pcl contrib - cryptographi,3,crypt|security|protect,0.5501783490180969
yes quick search show crypto api support ocsp,2014-04-11 12:52:19.223 UTC,28,23013107,.net crypto api support ocsp certif valid look bounci castl purpos,0.25,7,.net c# cryptoapi cryptography,window crypto api support ocsp,3,crypt|certificate|validate,0.515442430973053
.net framework 4.5 need packag contain type alreadi .net framework entireti net46 implement librari per ildasm need interoper someth use .net standard need upgrad least .net framework 4.6 cryptographi type defin prior .net standard 1.3 align .net framework 4.6,2017-12-04 12:27:23.693 UTC,87,47633388,"need system.security.cryptography.pkc found follow command instal nuget package.install-packag system.security.cryptography.pkc -version 4.4.0 4.5 execut pm show error instal packag system.security.cryptography.pkc 4.4.0 tri instal packag project target .netframework,version=v4.5 packag contain assembl refer content file compat framework inform contact packag author",0.12643678160919541,11,.net c# cryptography nuget nuget-package,instal system.security.cryptography.pkc .net framework 4.5,3,crypt|security|authorise,0.5007674694061279
,2016-10-06 12:14:02.833 UTC,63,39895693,use vbscript encrypt data get error say need .net framework 3.5 system .net 3.5 .net 4.5 present machin c# code abl librari encrypting/decrypt data environ without .net 3.5 .net 4.5 code snippet vbscript instal .net 3.5 test work fine howev need run even .net 3.5 system applic .net 4.5 requir,0.1746031746031746,11,.net-4.5 c# encryption vbscript,system.security.cryptography.rijndaelmanag work vbscriptsystem without .net 3.5 .net 4.5 present,5,encrypt|crypt|scripting|security|rijndael,0.4946396052837372
,2017-07-02 14:09:47.68 UTC,30,44871670,look xade pade librari ies .net core bouncycastle-pcl support xade cade ? yes anyon sampl ? solut using/hav xade cade .net core,0.03333333333333333,1,.net-core bouncycastle c# security,bouncycastle-pcl support xade cade,1,security,0.4850285053253174
system.security.cryptography.cng nuget packag packag implement class namespac inform cryptographi api next gener novemb 2015 need check includ prereleas nuget packag manag,2015-11-12 20:35:38.017 UTC,53,33680841,creat new pcl portabl class librari thu target problem need md5 hash claim exist go refer try add area say framework assembl alreadi referenc bring,0.1320754716981132,7,c#,pcl 4.6 .net framework need system.security.cryptographi,4,security|crypt|md5|hash,0.48268064856529236
class implement valu use chang use readd full use two public method need use copi newer version .net core find github check need comment two miss method write,2017-04-12 07:22:12.867 UTC,56,43362925,.net framework need creat crypto algorithm creat class .net core seem limit thing still base class algorithm .net core,0.07142857142857142,4,.net .net-core c# cryptography hashalgorithm,deriv hashalgorithm .net core,2,crypt|hash,0.4770623445510864
,2016-07-28 00:31:34.99 UTC,42,38625295,im tri port secur code implement java c# java spongycastl use use equival bounci castl c# equival implement .net follow librari file use sampl code mention someon point right librari file bounti castl c# .net,0.047619047619047616,2,c# cryptography,"gener ecpublickey x,y paramet c",2,crypt|security,0.4678592383861542
