postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
1204,https://api.github.com/repos/doorkeeper-gem/doorkeeper/issues/1204,issue,token introspect fail protect resourc credenti,rfc oauth token say token introspect endpoint requir protect resourc credenti doorkeep implement requir credenti client access token issu step reproduc send request token introspect endpoint protect resourc client id client secret expect behavior token introspect endpoint return success respons actual behavior token introspect endpoint return failur respons system configur doorkeep initi custom rubi version gemfil lock,hi thank report issu let look client authent describ oauth rfc separ oauth access token bearer token describ oauth bearer token usag rfc doorkeep implement either first second type author right btw agre implement second solut spec submit pr hi thank quick respons littl misunderstand want second solut doorkeep return failur respons case think wrong understand token introspect endpoint client id client secret authent client access token issu authent protect resourc say token introspect rfc design resourc server rs client spec enabl rs call token introspect api detect client access resourc scope impli rs client credenti issu spec prohibit client api client api mitig token replac attack howev origin purpos rfc side effect token introspect api accept client credenti oauth client resourc server ref sinc oauth defin protocol resourc server learn meta inform token receiv author server sever differ approach develop bridg gap specif defin protocol allow author protect resourc queri author server determin metadata given token present oauth client plu current doorkeep seem accept whether client credenti token issu valid access token first one reject client client token issu second accept client valid access token look weird introspect token valid anyon specifi bearer header call success design concept gener api accept whether client client credenti token issu rs client credenti token use valid access token client rs ref instanc test includ follow token expir author server must determin whether token expir token issu abl use author server must determin whether token valid period start yet token revok issu author server must determin whether revoc taken place token sign author server must valid signatur token use certain resourc server author server must determin whether token use resourc server make introspect call hi sure understood first one reject client client token issu second accept client valid access token look weird well take look introspect request rfc see prevent token scan attack endpoint must requir form author access endpoint client authent describ oauth rfc separ oauth access token bearer token describ oauth bearer token usag rfc method manag valid authent credenti scope specif doorkeep check valid access token separ oauth access token spec client credenti agre check introspect token belong client credenti request gem addit mayb need remov thought secur purpos well seem violat second case request author use separ token allow check token pr fix problem current super busi review token introspect definit need fix introspect token access token least implement reject request includ activ access token bodi introspect token bearer header allow token bodi bearer header prevent token span attack separ meant access token use author server separ oauth access token bearer token describ oauth bearer token usag rfc follow least implement reject request includ activ access token bodi introspect token bearer header mean client request token introspect use param header request miss someth mean client want introspect need specifi anoth token e g authorizaiton header ng ok token introspect endpoint requir protect resourc credenti doorkeep implement requir credenti client access token issu ok rememb error respons section need investig fix issu error consid inact token token request exist invalid token expir token issu differ client make request doorkeep check client credenti use authent client token issu agre nov second check credenti check token valid cucumbersom need fix pleas propos gist rspec exampl fail current behavior pleas point section rfc least implement reject request includ activ access token bodi introspect token bearer header allow token bodi bearer header prevent token span attack need know oauth server must respond case separ mean rfc section want bearer token token introspect api access control need access token separ introspect token ref hi pleas take look chang previou solv problem yes solv problem thank close issu still improv suggest welcom pr close issu ok pleas appreci support configur option custom token introspect endpoint auth logic defin custom rule check auth token specif scope valid client check superapp pr,12,77,protect|credential|oauth|authentication|authorise|signing|attack|validate|signature|security|violate|access control,708,0.10875706214689265,0.7040678858757019
59,https://api.github.com/repos/gimite/google-drive-ruby/issues/59,issue,get token invalid connect omniauth googl oauth,hi tri gem omniauth googl oauth devis basic tri grant access user redirect callback take code paramet authent code well tri avoid user log twice app basic want user log googl account upload file googl drive tri googledr login oauth method seem work appreci help omniauth callback login googl try login connect googl button come error respons code token invalid authsub token wrong scope token invalid authsub token wrong scope error said fail line p session drive file try see drive api fetch file,need specifi scope access need fetch token need add scope paramet token call accord googl develop doc scope requir per file access googl drive openid profil email help jan jul marlon mantilla martinez notificationswrot hi tri gem omniauth googl oauth basic tri grant access user redirect callback take code paramet authent code well tri avoid user log twice app basic want user log googl account upload file googl drive tri googledr login oauth method seem work appreci help omniauth callback login googl def googl oauth access token request env omniauth auth user find googl oauth access token current user author code param code client oauth client new secretid secretkey site token url oauth token author url oauth auth auth token client auth code token author code redirect uri session drive googledr login oauth auth token token p session drive file flash notic n devis omniauth callback success kind googl sign redirect event authent els session devis googl data request env omniauth auth redirect new user registr url end end try login connect googl button come error respons code token invalid authsub token wrong scope token invalid authsub token wrong scope error said fail line p session drive file try see drive api fetch file repli email directli view github hi jan tri chang token call get error omniauth googl oauth authent failur invalid credenti oauth error invalid scope error invalid scope idea updat check need chang scope valu devis provid initi success return access token check make curl display current user info call call session drive file return googledr authenticationerror respons code confus access token success return exampl code scope must use googl document list api googl drive sdk chang near futur though requir scope differ hi tri omniauth googl oauth get respons error find solut thank advanc specifi scope mention error token invalid authsub token wrong scope here work recommend start brand new brows session cognito restart server test entir flow,8,41,validate|oauth|authentication|login|openid|authorise|signing|credential,414,0.09903381642512077,0.6689862608909607
514,https://api.github.com/repos/doorkeeper-gem/doorkeeper/issues/514,issue,select enabl urn ietf wg oauth oob secur implicit flow,hello troubl make api secur oauth rfc mention urn ietf wg oauth oob implicit flow redirect flow suppos access token redirect uri fragment handl trust app browser permit access fragment outsid intend document thu urn ietf wg oauth oob use author code flow provid non redirect code token obtain secret implicit flow think gener big breach suppos client document secur inde redirect point oauth token display token queri param log exampl webapp trust default skip author author token urn ietf wg oauth oob applic access token suppos handl webapp suppos happen chang flow forbid urn ietf wg oauth oob implicit flow enabl author code untrust app forc non danger scope pleas implement select enabl disabl nativ redirect uri depend client id applic tri lambda without success current search addit inform secur implicit flow main issu easi applic act web applic access token fact think strang urn ietf wg oauth oob implicit flow redirect oauth token breach doorkeep strategi client trust disabl urn ietf wg oauth oob forc redirect uri fragement contain access token hacker applic cannot token sinc access hash fragment client untrust forc author skip possibl enabl urn ietf wg oauth oob nativ applic need access token author code user respons accept hacker applic anybodi relev answer know wrong,saw chang mind limit scope applic mayb add applic configur nativ uri capabl thought nativ uri avail present app redirect uri case want behaviour bit facebook ask applic avail mobil untrust devic deep investig seem doorkeep case urn ietf wg oauth oob correct author code output titl bar window must success code thecod copi past form subject web urn ietf wg oauth oob implicit flow token thu breach redirect token nativ redirect uri enabl current disabl implicit flow disabl entir test lead confus doorkeep test behaviour usual googl instal app flow still interest send author code access token titl bar nativ app redirect uri contain urn ietf wg oauth oob current behaviour doorkeep allow nativ redirect global even redirect uri tell nativ redirect doorkeep provid enabl nativ uri e implicit flow provid access token app simpl post oauth author redirect uri urn see googl found even better googl document oauth implement document describ perfectli user flow web app keep secret code redirect uri custom prompt refresh client id client secret redirect uri implicit client side app keep secret token redirect uri custom prompt refresh none verificaton limit scope mostli short term ttl refresh flow person opinion client app web app flow whole applic limit access long term read exampl suppos problem use refresh token avoid mani redirect long break chain csrf instal app desktop phone keep secret long time code redirect uri nativ uri client id client secret redirect uri titl bar nativ uri person opinion client hardli keep secret limit scope need import skip auth otherwis easi hacker take ident anoth web client app case client secret gadget client id ensur user know author app respons wrong thing nativ uri code grant requir client secret token exchang directli moreov code titl bar tri flow popup protect popup close content uri parent tri ajax user connect effect doorkeep token client id even add secret steal last protect ask user confirm instal app differ anyth behind think still reproduc user respons author ajax cours import thing disabl nativ uri applic suppos client side listen think clear enough explain today mind doorkeep must googl behaviour default behaviour enabl app connect standard even bit extend secur hope googl rail dev want ride outsid rail free breach use nativ uri test flow product hope help improv secur solv breach oh forget say read doorkeep spec test posit approach test flow think lack neg test check danger flow implicit token urn oob redirect directli token info instead code titl bar tomorrow enough energi try write miss test agre previou concept oauth main issu easi applic act web applic access token quot form spec issu access token implicit grant flow author server authent client use implicit grant type access token transmit uri fragment expos unauthor parti public client use implicit flow specif provid method client determin client access token issu authent resourc owner client scope specif specif use author process form deleg end user authent client e g third parti sign servic must implicit flow without addit secur mechan enabl client determin access token issu e g audienc restrict access token meant implement broad arguabl incomplet oauth spec problem belong doorkeep issu make think implicit grant flow enabl default make littl explicit case requir extra care programm implement oh forget say read doorkeep spec test posit approach test flow think lack neg test check danger flow implicit token urn oob redirect directli token info instead code titl bar tomorrow enough energi try write miss test agre previou concept oauth pleas go ahead discuss help discuss run code alway easier thank repli inde search offici document urn ietf wg oauth oob hit paragraph specif agre mayb implicit flow disabl default least expect doorkeep featur custom app scope token code consid ad option avoid redirect token info endpoint pass token uri fragment specifi spec consid ad option avoid redirect token info endpoint pass token uri fragment specifi spec gener rule interest adjust implement doorkeep differ spec good reason implicit flow disabl default potenti pr quot interest thank input,16,72,oauth|security|trust|authorise|breach|danger|hack|hash|availability|csrf|protect|steal|forge|authentication|delegation|signing,891,0.08080808080808081,0.6284037232398987
561,https://api.github.com/repos/doorkeeper-gem/doorkeeper/issues/561,issue,confus password grant flow exampl wiki,tri implement password oauth grant flow notic test exampl impress necessari send client id client secret request read approach found accept stack rfc especi see client id client secret sent grant flow exampl send client id client secret issu doorkeep doorkeep wiki mere confus part regard oauth specif wiki exampl case happi someon provid inform,client password flow option answer stackoverflow wiki page updat thank note note close understand client id secret id inde requir part spec look particular statement client type confidenti client issu client credenti assign authent requir client must authent author server describ section client issu credenti authent per refer state client id client secret requir think confus spec written make sens clearer section howev logic see valid leav us problem revok access client exampl fact spec list three reason client valid sure whether doorkeep need remain un opinion suppos must case implementor use doorkeep without creat client authent requir per spec guess manual authent client block sure best quick dirti check client first find applic use authent usernam password client valid though suspect better handl use process grant type think opinion oauth password flow client authent start encod opinion see make sens flow authent answer doorkeep author server control happen client thank input case anyon curiou still feel import authent client benefit abl know applic associ access token doorkeep client credenti pass said configur authent client credenti use basic authoris param secur consider make requir client id client secret realli wanna let request flow mine tri figur yet thank modifi check sampl code share specif part perform actual check db bad see thank u much think client credenti requir password flow spec clearli say flow use high degre trust oauth provid client say client authent requir client type confidenti client issu client credenti assign authent requir neither statement true client type confidenti client issu client credenti rate want refresh token password workflow look still need provid client credenti refresh token endpoint call still requir client credenti paramet found new creat file accord oauth spec client id client secret password grant client confidenti e server authent password flow oauth gem includ default even password auth work hey peopl tri implement password grant flow work send client id client secret param oauth token endpoint implement password grant flow without send param secur reason client app hey peopl tri implement password grant flow work send client id client secret param oauth token endpoint implement password grant flow without send param secur reason client app leav client id client secret param empti error say error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client includ proce ok confus anybodi look look rfc especi see client id client secret sent grant flow access token request section say client type confidenti client issu client credenti assign authent requir client must authent author server describ section author server must requir client authent confidenti client client issu client credenti authent requir doorkeep applic credenti requir client id client secret request conform spec,13,73,password|oauth|confidential|credential|signing|authentication|authorise|validate|username|encode|security|trust|scripting,515,0.141747572815534,0.6179053783416748
1133,https://api.github.com/repos/doorkeeper-gem/doorkeeper/issues/1133,issue,freez twice post oauth token request credenti,notic behavior sever time start rail app two post oauth token request credenti time almost without interrupt rail boot puma rail applic start develop run startup option puma start singl mode version rubi p codenam love song min thread max thread environ develop listen tcp ctrl c stop start post oauth token start post oauth token cannot render consol allow network cannot render consol allow network freez app restart migrat initi doorkeep rb http author client id client secretparamshttp author access token bearer tokenparam,hi freez option modifi configur use option singl request request delay work fine problem occur two request perform time chang doorkeep rb tri grant flow w password grant flow w password result freez reproduc use doorkeep configur run curl f grant type author code f client id b cdb f b e c dad adb b ec b c b deb ec f f client secret ff e ec af bcc ea c cf c c e c f code cff c b f c ea c fbcc b f x post done access token fab cf dbc e e token type bearer expir refresh token caa b edb ea ff c c f c de e creat error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client error invalid grant error descript provid author grant invalid expir revok match redirect uri use author request issu anoth client bulai server log rail p boot puma rail applic start develop run startup option puma start singl mode version rubi p codenam llama pajama min thread max thread environ develop listen tcp localhost ctrl c stop start post oauth token ms select schema migrat version schema migrat order schema migrat version asc home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb ms begin transact home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant id limit id limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accessgr updat ms updat oauth access grant revok oauth access grant id revok id home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic id limit id limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic id limit id limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accesstoken exist ms select one oauth access token oauth access token token limit token fab cf dbc e e limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accesstoken exist ms select one oauth access token oauth access token refresh token limit refresh token caa b edb ea ff c c f c de e limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep accesstoken creat ms insert oauth access token resourc owner id applic id token refresh token expir creat scope valu resourc owner id applic id token fab cf dbc e e refresh token caa b edb ea ff c c f c de e expir creat scope home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb ms commit transact home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb start post oauth token doorkeep accessgr load ms select oauth access grant oauth access grant oauth access grant token limit token cff c b f c ea c fbcc b limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb doorkeep applic load ms select oauth applic oauth applic oauth applic uid limit uid b cdb f b e c dad adb b ec b c b deb ec f limit home bulaj rvm gem rubi gem activerecord lib activ record log subscrib rb run parallel yes see freez listen tcp localhost ctrl c stop start post oauth token start post oauth token start post oauth token start post oauth token think parallel request run curl f grant type author code f client id b cdb f b e c dad adb b ec b c b deb ec f f client secret ff e ec af bcc ea c cf c c e c f code cff c b f c ea c fbcc b f x post echo done done got problem mistak android app perform parallel two request look configur mistak side look dead lock problem requir research mayb app server problem yep seem dead lock fix avoid situat parallel request current say quickli fix normal situat situat best handl transact lock side need avoid situat parallel request yep side fix problem propos pr fix thank sorri new rail risk propos pr fix try reproduc add fix think applic level mutex oper avoid transact dead lock split mention transact imposs thank addit direct sorri reensur point right direct understand correctli mobil app resourc owner credenti grant author code grant total look author code grant think fix issu encount take look curl exampl request use auth code grant point part code respobs dead lock parallel request creat two transact one creat lock second rais dead lock yeah saw saw request sent oauth token param miss sinc shown configur assum made resourc owner credenti grant assum right misread check issu found know code ugli part use reproduc problem updat hi tri applic level mutex think multipl app process server sure appropri solut mayb need make token request faster atom smth els protect dead lock sorri last tri reproduc issu rspec test firstli ensur realli find fix fail easi simul parallel request within rubi lost track mean know code ugli part use wrote wrong code exampl right auth code grant resourc owner credenti grant assum last case mean nbulaj reproduc issu found anoth mayb even probabl realli happen never ran issu side encount mobil librari request sever time without run issu mayb write exampl token request includ param exampl wrong wrote code error occur param try perform request parallel time result describ refresh token request author code grant thank point mention someth reproduc author code grant mean wrote wrong code want understand meant know code ugli part use nbulaj assumpt issu right issu root done author code grant configur post match case want know know code ugli part use mean post realli use ensur realli author code grant still similar code exist refresh probabl nbulaj still right assumpt root caus mayb found possibl fix feel unsur sinc abl reproduc automat test wrote possibl work test think right applic level mutex solv issu multi server scenario give two day propos someth afraid solut beauti enough mayb go made small snippet singl file rail applic doorkeep improv speed test issu seem hard reproduc case irl close stale issu feel free propos pr commun issu,7,158,oauth|credential|authorise|password|validate|scripting|protect,2112,0.07481060606060606,0.6001075506210327
318,https://api.github.com/repos/Shopify/shopify_app/issues/318,issue,proxi fail authent rais forbidden error unauthor,authent proxi fail return unauthor error unauthor respons server basic tell user authent authent try requir includ header describ user respond error unauthor respons messag use origin server challeng author user agent respons must includ www authent header field contain least one challeng applic request resourc applic proxi suppos access shopifi server sourc attempt access actual receiv forbidden error sinc authent describ error server understood request refus fulfil author help request repeat exactli go applic proxi fail authent fail request come shopifi request come unauthent user,sound reason pr welcom gez suitabl thread pose follow question tri wrap head around either simpler explan http proxi authent requir code similar unauthor indic client must first authent proxi proxi must return proxi authent header field section contain challeng applic proxi request resourc client repeat request suitabl proxi author header field section http access authent explain http authent basic digest access authent referenc section proxi authent proxi authent respons header field must includ part proxi authent requir respons field valu consist challeng indic authent scheme paramet applic proxi request uri http access authent process describ http authent basic digest access authent unlik www authent proxi authent header field appli current connect pass downstream client howev intermedi proxi need obtain credenti request downstream client circumst appear proxi forward proxi authent header field proxi author proxi author request header field allow client identifi user proxi requir authent proxi author field valu consist credenti contain authent inform user agent proxi realm resourc request http access authent process describ http authent basic digest access authent unlik author proxi author header field appli next outbound proxi demand authent use proxi authent field multipl proxi use chain proxi author header field consum first outbound proxi expect receiv credenti proxi relay credenti client request next proxi mechan proxi cooper authent given request familiar sorri prob smiley cc appli shopifi app actual act proxi term actual kind mislead shopifi real proxi case break see mean request goe browser shopifi store shopifi app turn repli back shopifi hand request back client made request put shopifi middl make proxi come play write proxi need make sure authent client make request server shopifi app actual respond request made proxi actual proxi thank travi lot clear explain context shopifi app sound good simpl switch post pr shortli close,3,51,authentication|authorise|credential,391,0.13043478260869565,0.5935647487640381
645,https://api.github.com/repos/doorkeeper-gem/doorkeeper/issues/645,issue,resourc owner credenti grant possibl without client credenti,oauth specif sai resourc owner credenti grant flow alway ensur client credenti correct although doorkeep check credenti author header author header access token,duplic read discuss think still issu reopen issu thank input tri understand similar fail still access token usernam password without client credenti basic auth param think still issu fit oauth specif alreadi thought bother thank fast repli anyway hm check refresh token request well without client verif delet authent header add paramet curl x post h content type applic x www form urlencod h accept grant type refresh token refresh token df e fc ceebf df e dcb b dc bb got new token realli sure expect develop use great gem authent header client credenti valid correctli inform came without valid monkey patch doorkeep oauth passwordaccesstokenrequest doorkeep oauth refreshtokenrequest sinc oauth specif disallow least refreshtoken request client credenti interest pull request make configur resourc owner credenti grant describ client credenti mandatori confidenti client type write someth rspec test end day let revisit issu back next week thank input spec section client authent requir base client type author server polici sure oauth specif disallow least refreshtoken request client credenti section client type confidenti client issu client credenti assign authent requir client must authent author server describ section depend client doorkeep enforc sorri wast time seem correctli read read mani articl directli oauth one fault right mandatori confidenti client sinc alreadi ensur client credenti check given develop side ensur data shown unless doorkeep token applic nil happen resourc owner credenti grant perhap monkey patch logic confidenti client check refresh token grant sinc want allow resourc owner credenti grant intern applic still go solut alreadi need modif cours oauth conform need discuss sorri close issu thank share sorri post sure els post problem seem isol ajax request execut within context cordova app send oauth token json post grant type password credenti return access token properli logout call revok token login differ usernam password return access token previou user even though confirm request pass usernam password properli second user oauth token json assum old user id guess get session cannot figur life use user id previou user even think user id previou user oauth token json post grant type password use devis ensur request sent oauth token json ignor pre exist session cooki anyth resembl previou session happen user log expect secur log anoth user come along app log boom access token return previou user eek say bug someth done tip caus look note appear server log sub sequent post oauth token json caus chrome call api endpoint return properli isol within webview cordova assum pass sort header caus figur api call resourc owner credenti grant session involv doorkeep side grant redirect doorkeep app login redirect back think cach data must happen side request abl run doorkeep applic local develop contain user debugg debugg insid resourc owner credenti doorkeep initi check data possibl add debug log usernam user id load client sent twice data pretti sure problem client doorkeep applic,13,62,credential|oauth|authorise|username|password|authentication|encode|validate|confidential|signing|login|cookie|security,508,0.1220472440944882,0.5766371488571167
127,https://api.github.com/repos/nov/fb_graph/issues/127,issue,error pars sign request,try pars sign request throw except fbgraph auth verificationfail signatur invalid def find auth param key sign request session sign request param sign request authorizor sign request param sign request canva pars sign request configatron fb authent app secret param sign request page like els authorizor sign request session sign request canva pars sign request configatron fb authent app secret session sign request page like end end def authorizor fbgraph auth new configatron fb authent app key configatron fb authent app secret end,type issu hard debug side inform solut excus issu produc bad configur pars sign request ask permiss howev two problem first redirect insid tab applic callback url modifi configur second access token callback action pars save access token def author param code access token rack oauth accesstoken fbgraph user access token fetch fbgraph user code end howev throw error miss redirect uri paramet sampl find facebook auth callback facebook url client set redirect uri client url redirect uri client access token call ps want know detail oauth flow call fbgraph debug fbgraph logger rail logger config initi fb graph rb somewher see raw http request respons ok thank much,6,26,signing|signature|validate|authorise|authentication|oauth,197,0.1319796954314721,0.5741371512413025
135,https://api.github.com/repos/lynndylanhurley/devise_token_auth/issues/135,issue,error loge facebook second time without logout,error nil nilclass extract sourc around line find creat user provid provid uid resourc class uid auth hash uid provid auth hash provid first initi reproduc login facebook use omniauth facebook remov auth token cooki click facebook login button,specifi specifi callback url facebook try add omniauth initi doc yes yes ad first login success problem happen remov cooki try login happen remov cooki try login twice version gem use proceed facebook log gemfil use ng token auth angular app authent googl twitter give error debug found nil amniauth success method try master branch use master happen face error facebook callback url wrong access code rail angular think facebook configur abl login first time googl twitter provid work found pattern error happen alreadi allow app provid everi first time log facebook twitter googl success go facebook remov app anoth error constant nil nilclass def resourc class omniauth param omniauth param resourc class constant end end initi devis token auth rb devisetokenauth setup config config chang header request true config token lifespan day config omniauth prefix auth end initi omniauth rb rail applic config middlewar omniauth builder provid twitter id secret callback path auth twitter callback provid facebook id secret callback path auth facebook callback provid googl oauth id secret callback url callback path auth googl oauth callback end control applic control rb class applicationcontrol actioncontrol base includ devisetokenauth concern setuserbytoken protect forgeri except filter csrf cooki ng def csrf cooki ng cooki xsrf token form authent token protect forgeri end protect def verifi request super valid authent token session request header x xsrf token end end config rout rb rail applic rout draw mount devis token auth user auth root static page index end main js coffe authprovid authprovid configur apiurl authproviderpath twitter auth twitter facebook auth facebook googl auth googl oauth rake routesapifacebook auth facebook omniauth normal support multipl user model use magic provid support requir omniauth dedic rout access directli thank field one smiley hi face issu resourc class found callback slack see solv see line dummi folder wonder mayb make sens pass resourc name callback url nevermind figur pass param resourc class slack seem return back thank awesom gem,9,28,hash|login|cookie|authentication|oauth|protect|forgery|csrf|validate,370,0.07567567567567568,0.569862425327301
38,https://api.github.com/repos/sferik/twitter/issues/38,issue,invalid expir token confirm oauth,slightli confus two code snippet auth url follow url give deni allow screen correct consum name twitter found correct consum info access token oauth twitter oauth new consum key consum secret author request debug call show respons twitter consum pair work fine use twitter j java consum seem ok twitter side idea fail miss someth obviou code,need pass request token secret step rather consum token secret code look oauth twitter oauth new consum key consum secret oauth callback url whatev receiv rout url session rtoken oauth request token token session rsecret oauth request token secret redirect oauth twitter oauth new consum key consum secret oauth author request session rtoken session rsecret param oauth verifi twitter base new oauth verifi credenti ah take look thank,4,17,validate|oauth|authorise|credential,131,0.1297709923664122,0.5545196533203125
