id,score
"8318","10"
"14617","228"
"16451","22"
"17376","6"
"24723","24"
"29357","2"
"33745","10"
"34638","6"
"37343","3"
"39564","3"
"39916","21"
"49226","5"
"49473","11"
"65494","1"
"76324","2"
"77686","0"
"84641","1"
"90517","2"
"102788","12"
"103203","3"
"108838","1"
"119926","4"
"120380","11"
"127459","3"
"127739","2"
"132384","0"
"159282","2"
"166411","2"
"168610","46"
"171519","104"
"174131","8"
"185211","3"
"186125","1"
"196845","0"
"205183","1"
"211099","3"
"217511","15"
"219944","3"
"219999","11"
"242669","1"
"257015","0"
"276310","9"
"277044","190"
"277100","1"
"290545","1"
"295515","3"
"295628","23"
"297952","3"
"302357","1"
"308659","9"
"309615","20"
"313730","24"
"315132","23"
"318214","1"
"321061","2"
"321787","6"
"323939","1"
"324726","22"
"333812","1"
"347856","7"
"348090","1"
"350177","2"
"353815","0"
"359620","4"
"360520","141"
"362386","4"
"388749","20"
"395375","1"
"398179","5"
"398537","0"
"401985","18"
"404027","2"
"407687","0"
"429352","3"
"435912","5"
"442862","87"
"442995","2"
"461886","2"
"475833","5"
"477144","31"
"479535","21"
"491109","0"
"493646","2"
"495392","7"
"506939","2"
"521101","68"
"521418","35"
"522723","3"
"525408","2"
"528938","4"
"529997","11"
"539816","4"
"540738","2"
"546242","0"
"546438","36"
"546447","0"
"552108","0"
"556110","0"
"557746","5"
"561024","12"
"573121","3"
"573307","6"
"578679","3"
"579224","5"
"594049","1"
"605589","0"
"607560","11"
"617471","1"
"633890","0"
"635088","0"
"635171","7"
"639680","5"
"645609","0"
"646195","22"
"656373","3"
"656787","2"
"658826","0"
"659950","4"
"663890","9"
"663910","1"
"668958","1"
"673355","6"
"674510","1"
"685855","8"
"685937","0"
"686481","3"
"699254","10"
"700529","2"
"713344","0"
"715969","3"
"717854","15"
"727812","10"
"728047","0"
"728324","1"
"728531","6"
"733435","0"
"734887","0"
"738071","2"
"738188","0"
"752332","2"
"760358","3"
"761588","25"
"766675","1"
"770635","20"
"772011","1"
"773912","0"
"779973","1"
"788834","1"
"788844","0"
"789759","3"
"791677","3"
"800904","0"
"800922","5"
"801458","8"
"805686","7"
"806131","39"
"809590","2"
"819593","0"
"820334","0"
"821817","8"
"824919","0"
"827604","0"
"837417","0"
"841152","6"
"855103","0"
"856302","3"
"857153","5"
"857194","5"
"858036","2"
"861221","0"
"862350","4"
"868078","0"
"871966","2"
"877317","1"
"877562","0"
"881661","7"
"885439","1"
"892733","23"
"898026","2"
"912668","1"
"914509","1"
"915039","3"
"919983","3"
"922779","18"
"929939","1"
"935218","1"
"937168","17"
"937503","3"
"948177","1"
"956639","2"
"960415","6"
"960990","0"
"961339","2"
"964071","38"
"965304","15"
"973194","1"
"975307","3"
"975399","2"
"976696","4"
"981226","2"
"983964","27"
"988926","0"
"994404","0"
"996139","381"
"1000860","0"
"1003960","0"
"1004586","1"
"1008601","2"
"1011538","1"
"1011777","8"
"1016522","2"
"1017150","2"
"1018292","14"
"1022994","0"
"1023486","2"
"1025466","1"
"1036872","0"
"1037250","2"
"1037798","0"
"1037813","0"
"1042635","2"
"1042904","1"
"1043621","13"
"1045988","149"
"1049653","16"
"1057041","1"
"1059723","1"
"1066702","4"
"1066976","0"
"1067869","4"
"1070420","9"
"1087224","3"
"1091022","4"
"1094137","6"
"1096151","0"
"1100299","1"
"1108937","9"
"1109731","2"
"1112962","0"
"1118654","0"
"1119868","0"
"1119947","6"
"1121280","13"
"1126684","8"
"1127358","2"
"1131733","1"
"1139493","1"
"1141040","0"
"1142101","1"
"1142477","0"
"1150965","2"
"1157425","2"
"1158195","3"
"1159729","36"
"1163319","6"
"1164245","1"
"1165632","-1"
"1166433","1"
"1168821","1"
"1171103","5"
"1171627","1"
"1175008","8"
"1176579","3"
"1176929","10"
"1178061","0"
"1181259","1"
"1184543","13"
"1184789","0"
"1193220","0"
"1198316","0"
"1198756","10"
"1201048","59"
"1203317","0"
"1207292","0"
"1209525","9"
"1211822","5"
"1214151","2"
"1216242","0"
"1221118","0"
"1224021","41"
"1225720","0"
"1226177","2"
"1229588","1"
"1235556","4"
"1241947","102"
"1250689","0"
"1252140","1"
"1258104","-1"
"1258706","1"
"1263980","0"
"1275045","6"
"1275814","0"
"1276498","0"
"1277276","4"
"1278974","5"
"1280702","9"
"1283352","9"
"1286837","4"
"1292228","5"
"1294486","2"
"1297625","1"
"1297696","1"
"1300169","3"
"1304456","1"
"1307251","8"
"1308347","0"
"1309280","1"
"1312984","2"
"1317506","0"
"1318148","2"
"1319320","7"
"1321557","26"
"1323551","2"
"1326036","12"
"1326770","0"
"1326858","7"
"1329730","2"
"1335880","0"
"1339787","4"
"1341908","2"
"1342955","0"
"1343065","2"
"1345131","0"
"1345691","0"
"1349566","-2"
"1349938","15"
"1350030","2"
"1354380","7"
"1357149","2"
"1357553","2"
"1368034","2"
"1372466","1"
"1373407","30"
"1375002","0"
"1379434","7"
"1381205","10"
"1381409","5"
"1382215","3"
"1382303","5"
"1383869","0"
"1384236","0"
"1384282","15"
"1385082","15"
"1386139","4"
"1387073","1"
"1389055","0"
"1389176","0"
"1389754","3"
"1391132","31"
"1391280","1"
"1391328","16"
"1391692","10"
"1394267","-1"
"1394616","2"
"1397091","6"
"1398703","2"
"1399157","2"
"1401454","0"
"1401895","0"
"1405872","2"
"1408227","1"
"1412195","3"
"1412239","6"
"1415673","0"
"1416582","0"
"1419069","8"
"1420138","3"
"1420761","4"
"1421245","3"
"1424947","7"
"1430316","1"
"1441209","2"
"1442054","4"
"1448072","1"
"1450459","0"
"1459902","20"
"1460208","2"
"1462957","0"
"1464237","1"
"1465704","10"
"1466011","2"
"1473186","1"
"1475991","0"
"1478887","1"
"1480974","1"
"1481443","16"
"1483595","6"
"1487749","0"
"1488440","0"
"1497204","2"
"1502835","1"
"1511723","1"
"1512712","1"
"1514282","2"
"1519952","0"
"1522869","13"
"1523020","0"
"1527735","6"
"1529475","1"
"1530949","0"
"1531721","1"
"1531881","-1"
"1535053","2"
"1548079","0"
"1570493","1"
"1579084","0"
"1581287","1"
"1583902","1"
"1584552","4"
"1584825","0"
"1586012","0"
"1587423","3"
"1587695","13"
"1589850","0"
"1590103","8"
"1593037","0"
"1594206","8"
"1597002","3"
"1597421","10"
"1598541","3"
"1599087","3"
"1601560","4"
"1606494","1"
"1608706","17"
"1609559","0"
"1612222","1"
"1617649","0"
"1620823","2"
"1622834","6"
"1622947","8"
"1624846","50"
"1625111","1"
"1626163","4"
"1628138","5"
"1628308","0"
"1629415","3"
"1634324","6"
"1636572","2"
"1646394","0"
"1649515","2"
"1649968","3"
"1657601","0"
"1667996","4"
"1669103","-1"
"1678539","6"
"1691830","3"
"1696203","0"
"1713299","0"
"1715036","48"
"1715605","0"
"1715628","2"
"1719033","0"
"1719875","1"
"1724598","0"
"1732789","18"
"1741160","11"
"1742740","4"
"1744165","2"
"1749423","0"
"1751625","3"
"1752477","44"
"1756338","0"
"1759035","0"
"1761155","2"
"1762803","0"
"1765222","2"
"1766822","3"
"1767117","4"
"1770942","0"
"1775957","0"
"1776827","9"
"1777483","4"
"1778897","9"
"1778977","1"
"1781905","3"
"1788150","20"
"1791060","2"
"1792541","1"
"1793188","2"
"1793979","51"
"1799022","4"
"1800662","7"
"1805214","1"
"1807301","2"
"1820386","1"
"1822119","5"
"1829879","0"
"1832073","1"
"1833167","2"
"1842373","2"
"1847357","2"
"1852263","0"
"1858448","12"
"1866225","20"
"1867269","1"
"1874313","0"
"1877242","5"
"1880169","8"
"1883929","3"
"1884347","1"
"1885199","1"
"1885423","0"
"1885516","1"
"1887870","10"
"1892238","2"
"1895955","1"
"1906622","0"
"1908980","2"
"1917245","0"
"1919885","8"
"1920973","2"
"1929340","5"
"1936846","0"
"1943377","0"
"1951212","1"
"1958710","0"
"1959272","0"
"1961162","0"
"1962271","10"
"1963521","1"
"1966154","19"
"1967963","9"
"1971091","1"
"1975730","0"
"1976821","13"
"1984269","0"
"1990576","2"
"1991477","0"
"1991676","2"
"1993756","5"
"1995639","2"
"1996613","2"
"1996954","0"
