id,score
"8021","97"
"29061","18"
"33412","74"
"33829","0"
"39135","7"
"43199","4"
"57384","4"
"70170","2"
"72304","2"
"78869","40"
"84096","56"
"84680","29"
"96945","3"
"97137","69"
"102425","7"
"102778","2"
"112396","1072"
"116415","2"
"123902","16"
"126798","3"
"137212","166"
"140113","1"
"143523","2"
"150167","61"
"153220","40"
"161160","2"
"163113","6"
"178479","345"
"181341","25"
"182133","1"
"183830","3"
"190376","6"
"190912","5"
"221149","0"
"232584","3"
"232839","2"
"233217","149"
"244283","5"
"248562","291"
"256899","2"
"267738","3"
"271090","3"
"271518","3"
"288289","2"
"288500","3"
"295163","1"
"295436","2"
"300334","8"
"303028","7"
"304268","514"
"308609","2"
"309202","6"
"311243","6"
"318781","3"
"319634","2"
"320355","3"
"320477","2"
"325637","2"
"338578","16"
"339004","14"
"339531","4"
"340820","6"
"346225","6"
"347056","5"
"353010","10"
"361231","6"
"363329","1"
"367530","2"
"368792","1"
"372268","6"
"373518","9"
"376551","8"
"376561","33"
"377901","5"
"385907","3"
"390150","74"
"407990","1"
"411037","-1"
"411331","48"
"415953","1013"
"427046","4"
"427821","0"
"430755","16"
"437375","8"
"438508","0"
"440463","54"
"443151","11"
"453925","5"
"472739","1"
"473566","1"
"476640","3"
"480895","7"
"485023","12"
"494860","2"
"496651","125"
"510846","2"
"517527","15"
"520255","1"
"530972","1"
"531096","11"
"537596","17"
"543896","9"
"545082","6"
"545667","30"
"547219","18"
"552982","0"
"556670","6"
"561938","2"
"565531","1"
"567482","5"
"568227","3"
"570450","10"
"571081","4"
"580686","4"
"581655","2"
"587357","16"
"592403","5"
"610896","0"
"612121","2"
"622732","17"
"626043","0"
"628416","83"
"636172","5"
"637496","1"
"646224","6"
"663397","3"
"683885","0"
"684081","28"
"687291","1"
"687787","14"
"691222","0"
"696793","3"
"700476","2"
"705728","16"
"706856","0"
"719556","2"
"719747","0"
"723129","3"
"729195","0"
"729203","6"
"733753","20"
"752890","8"
"754205","1"
"756133","1"
"759722","2"
"759800","2"
"762459","16"
"770969","0"
"785652","7"
"785973","310"
"797090","35"
"800172","2"
"804023","4"
"805153","3"
"805329","0"
"806169","3"
"808988","1"
"810493","64"
"811590","1"
"812275","0"
"820261","3"
"825638","2"
"829522","7"
"836007","3"
"836281","1"
"836520","1"
"839051","0"
"839213","0"
"840279","16"
"841446","1"
"842222","0"
"846957","4"
"848205","1"
"848734","10"
"850497","2"
"851093","0"
"851623","6"
"852453","20"
"853332","8"
"859111","164"
"859218","10"
"862571","2"
"865460","1"
"867751","13"
"868776","7"
"869255","1"
"869589","28"
"874903","3"
"875467","116"
"885005","1"
"885810","1"
"886397","2"
"888346","0"
"889406","7"
"890935","135"
"900763","3"
"901251","5"
"906210","2"
"906402","231"
"908748","41"
"909979","0"
"914069","0"
"916061","2"
"920809","3"
"924968","2"
"925377","15"
"933483","4"
"934474","-1"
"935666","2"
"937412","2"
"944679","6"
"948933","0"
"949190","1"
"950885","7"
"951477","5"
"955399","21"
"955624","16"
"956657","2"
"964547","0"
"967194","1"
"968565","44"
"975054","0"
"977321","2"
"979910","5"
"984644","15"
"986892","32"
"991703","3"
"992019","391"
"995035","1"
"995514","100"
"997304","0"
"1000347","-1"
"1001179","5"
"1003365","4"
"1009766","1"
"1009996","2"
"1010356","2"
"1012363","6"
"1012792","13"
"1013032","37"
"1016372","4"
"1019837","0"
"1028388","1"
"1031558","5"
"1032721","37"
"1033947","10"
"1037009","5"
"1037590","21"
"1044986","5"
"1045895","10"
"1051953","3"
"1061171","1"
"1069142","0"
"1075128","17"
"1079077","0"
"1089600","6"
"1093202","1"
"1093817","2"
"1105913","1"
"1107007","5"
"1114685","0"
"1115739","2"
"1122324","0"
"1130904","2"
"1132567","130"
"1135446","3"
"1139447","0"
"1169123","1"
"1170185","2"
"1175074","2"
"1175352","4"
"1187949","14"
"1199802","1"
"1202535","1"
"1205135","150"
"1206494","4"
"1211333","4"
"1217046","0"
"1225633","16"
"1226083","11"
"1227478","2"
"1233206","4"
"1234598","0"
"1236481","1"
"1238763","4"
"1240575","4"
"1244607","0"
"1244717","7"
"1247637","3"
"1250319","0"
"1255083","0"
"1258404","0"
"1264262","10"
"1265488","10"
"1269359","2"
"1269735","1"
"1270703","42"
"1277378","0"
"1283982","0"
"1284771","11"
"1287450","0"
"1291584","4"
"1291978","10"
"1301297","5"
"1303220","5"
"1305243","0"
"1315833","5"
"1331257","1"
"1340366","25"
"1349170","1"
"1350432","0"
"1354803","13"
"1362115","0"
"1363452","0"
"1365187","7"
"1374170","26"
"1376674","2"
"1381335","1"
"1381965","6"
"1384968","41"
"1391643","2"
"1396375","0"
"1398556","2"
"1399505","14"
"1400023","0"
"1400255","3"
"1401248","4"
"1413184","9"
"1417271","6"
"1422977","15"
"1423520","1"
"1423741","2"
"1429610","0"
"1431486","2"
"1433336","0"
"1440030","16"
"1441548","1"
"1443632","0"
"1449932","2"
"1453085","1"
"1454021","16"
"1454519","6"
"1455856","8"
"1466709","2"
"1473604","-1"
"1473997","5"
"1475061","1"
"1476963","0"
"1488404","3"
"1492043","1"
"1492762","2"
"1497297","10"
"1497322","8"
"1498108","2"
"1499115","1"
"1502465","1"
"1503241","1"
"1508314","6"
"1511674","30"
"1514112","0"
"1519435","1"
"1524107","3"
"1531740","8"
"1540007","2"
"1541585","2"
"1546817","1"
"1552330","3"
"1554799","0"
"1554912","5"
"1554970","2"
"1555476","2"
"1564446","0"
"1569736","5"
"1571999","3"
"1572813","4"
"1577081","0"
"1577290","1"
"1580012","14"
"1581759","2"
"1582115","1"
"1582161","122"
"1582537","1"
"1584177","0"
"1589164","1"
"1589216","0"
"1589996","3"
"1593253","4"
"1596187","0"
"1599012","0"
"1599443","1"
"1611365","16"
"1612191","0"
"1612485","3"
"1613212","22"
"1615871","42"
"1622492","0"
"1623865","4"
"1623924","2"
"1624137","4"
"1626549","60"
"1629958","6"
"1630712","0"
"1633750","15"
"1638170","44"
"1644059","4"
"1645747","0"
"1647759","18"
"1650596","8"
"1660845","1"
"1665736","3"
"1665963","0"
"1666028","-1"
"1666052","228"
"1666866","2"
"1667215","4"
"1671504","0"
"1676513","3"
"1677465","16"
"1680190","2"
"1689237","3"
"1694466","4"
"1698864","0"
"1709441","30"
"1710423","3"
"1715296","4"
"1715941","0"
"1722984","2"
"1725863","16"
"1730019","1"
"1731966","55"
"1734558","1"
"1745603","1"
"1752621","0"
"1754144","1"
"1754215","3"
"1754915","0"
"1755757","1"
"1756801","11"
"1760785","26"
"1761365","1"
"1761482","0"
"1762391","0"
"1762453","6"
"1764064","4"
"1769015","0"
"1782528","0"
"1785199","2"
"1785555","14"
"1786325","5"
"1798829","2"
"1803254","3"
"1807432","2"
"1812891","146"
"1814048","7"
"1816141","0"
"1819228","3"
"1820995","3"
"1821178","1"
"1821545","6"
"1826075","0"
"1828388","0"
"1828775","122"
"1832640","2"
"1850445","0"
