id,score
"328","125"
"657","34"
"5611","21"
"15266","10"
"16861","58"
"28369","5"
"36877","91"
"38875","23"
"39929","6"
"49455","3"
"54230","21"
"55218","12"
"55643","10"
"60174","2773"
"64631","10"
"69979","1"
"70653","6"
"71328","65"
"73947","212"
"74358","44"
"76359","4"
"80612","11"
"90413","19"
"93100","10"
"97984","405"
"110575","116"
"112768","3"
"120977","1"
"123499","7"
"127638","0"
"129677","1135"
"131017","7"
"131902","5"
"132134","7"
"134099","665"
"140439","89"
"143632","6"
"146839","3"
"148068","17"
"154844","6"
"157938","127"
"159114","1"
"172040","37"
"172392","5"
"173727","1"
"187434","1"
"187736","77"
"189555","146"
"199017","17"
"211483","0"
"213683","1"
"214431","1"
"216324","3"
"218531","12"
"220437","17"
"223800","21"
"226155","3"
"230845","5"
"232228","11"
"241953","2"
"242118","12"
"243426","1"
"244952","3"
"256172","38"
"258625","9"
"260236","14"
"260664","17"
"269713","6"
"278571","2"
"281485","3"
"286938","21"
"291874","0"
"297850","5"
"298535","12"
"322607","9"
"325323","6"
"329956","9"
"334776","10"
"335677","5"
"335888","11"
"336575","11"
"339180","4"
"339603","37"
"343995","7"
"346826","4"
"347088","4"
"354021","0"
"358772","1"
"362461","5"
"368329","8"
"372465","0"
"373761","2"
"379387","2"
"388800","92"
"394214","7"
"395652","2"
"401656","1180"
"410150","0"
"410392","28"
"413137","0"
"414034","15"
"419738","0"
"423369","4"
"426294","3"
"431698","11"
"436220","220"
"437962","5"
"443988","6"
"446467","1"
"446986","2"
"447600","2"
"451583","15"
"451601","0"
"451623","3"
"456546","4"
"457014","4"
"459614","4"
"461800","6"
"463832","17"
"465180","5"
"466748","4"
"474698","1"
"475216","8"
"475928","4"
"477649","8"
"478251","6"
"481743","11"
"481995","8"
"487889","3"
"488804","6"
"492340","2"
"493531","1"
"498521","13"
"498630","22"
"499062","0"
"501231","19"
"503666","5"
"509449","2"
"523629","12"
"524908","3"
"525056","6"
"526438","5"
"534742","20"
"543096","-2"
"544239","8"
"544433","30"
"545294","15"
"556572","1"
"564632","1"
"565425","4"
"568247","3"
"568609","13"
"568657","29"
"568924","2"
"568995","15"
"569871","1"
"577507","0"
"583592","1"
"585358","3"
"585891","0"
"588803","1"
"591300","4"
"595114","12"
"598844","1"
"599509","6"
"599535","13"
"602539","29"
"604634","9"
"606098","3"
"606099","5"
"606179","51"
"608112","1"
"613680","1"
"619620","2"
"619991","3"
"623788","1"
"629695","0"
"633109","5"
"636912","10"
"638057","2"
"642007","1"
"646425","4"
"647514","7"
"648307","0"
"650101","2"
"650979","2"
"651481","0"
"651902","3"
"652300","42"
"654688","3"
"655691","4"
"656329","1"
"659197","39"
"659657","0"
"659737","4"
"660175","0"
"661084","24"
"663490","3"
"666828","8"
"675172","3"
"679756","6"
"688766","6"
"690108","6"
"693270","10"
"693826","2"
"697134","1"
"701078","18"
"701687","0"
"703704","0"
"703963","0"
"705636","0"
"713165","2"
"717776","2"
"721436","5"
"723791","29"
"723856","6"
"723945","3"
"728164","44"
"729041","3"
"729130","0"
"732561","27"
"738500","6"
"738776","0"
"742730","2"
"749682","31"
"753081","2"
"759149","1"
"762221","2"
"768442","20"
"768677","5"
"772502","2"
"778382","83"
"779917","3"
"782785","0"
"789599","1"
"790086","2"
"790232","36"
"792097","8"
"792522","1"
"793761","82"
"798413","6"
"801347","5"
"802879","9"
"804969","6"
"811670","4"
"812639","1"
"820307","4"
"824822","0"
"826981","7"
"828400","3"
"830472","3"
"834932","0"
"839172","1"
"840386","1"
"841957","2"
"847306","7"
"852332","6"
"858149","0"
"860895","2"
"860954","62"
"861864","13"
"864791","6"
"872386","2"
"872570","2"
"875771","4"
"876258","0"
"880188","77"
"884207","2"
"885532","38"
"886893","2"
"886895","2"
"887100","2"
"890938","16"
"897020","32"
"897550","3"
"897740","1"
"901369","12"
"904344","0"
"905118","2"
"908448","0"
"909658","13"
"909834","-1"
"910241","7"
"910617","8"
"911389","0"
"920751","1"
"922805","8"
"922892","0"
"923296","26"
"932793","0"
"933331","301"
"938031","23"
"942544","1"
"945584","2"
"947618","32"
"953639","31"
"953712","1"
"955161","2"
"956993","0"
"961313","1"
"961830","1"
"963585","3"
"967181","1"
"968064","1"
"975785","4"
"976577","100"
"976754","2"
"979237","22"
"979360","1"
"981587","1"
"981828","2"
